Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6778.137,400,5553.624,0,0,0
01:00.0,6778.075433,400.593344,5553.549,60,0.000694444,1.90129E-06
02:00.0,6777.929809,401.101185,5553.37,120,0.001388889,3.80257E-06
03:00.0,6777.701365,401.521234,5553.089,180,0.002083333,5.70386E-06
04:00.0,6777.392347,401.85174,5552.709,240,0.002777778,7.60514E-06
05:00.0,6777.007198,402.092691,5552.236,300,0.003472222,9.50643E-06
06:00.0,6776.552401,402.246022,5551.677,360,0.004166667,1.14077E-05
07:00.0,6776.035377,402.314652,5551.042,420,0.004861111,1.3309E-05
08:00.0,6775.464183,402.30186,5550.34,480,0.005555556,1.52103E-05
09:00.0,6774.848402,402.211903,5549.583,540,0.00625,1.71116E-05
10:00.0,6774.199672,402.050841,5548.786,600,0.006944444,1.90129E-05
11:00.0,6773.530589,401.826156,5547.964,660,0.007638889,2.09141E-05
12:00.0,6772.852969,401.545309,5547.131,720,0.008333333,2.28154E-05
13:00.0,6772.177465,401.214831,5546.302,780,0.009027778,2.47167E-05
14:00.0,6771.514871,400.840936,5545.488,840,0.009722222,2.6618E-05
15:00.0,6770.87728,400.430823,5544.704,900,0.010416667,2.85193E-05
16:00.0,6770.277468,399.99312,5543.968,960,0.011111111,3.04206E-05
17:00.0,6769.727057,399.537059,5543.292,1020,0.011805556,3.23218E-05
18:00.0,6769.235368,399.071428,5542.688,1080,0.0125,3.42231E-05
19:00.0,6768.809834,398.604425,5542.165,1140,0.013194444,3.61244E-05
20:00.0,6768.456975,398.144396,5541.732,1200,0.013888889,3.80257E-05
21:00.0,6768.182558,397.70056,5541.395,1260,0.014583333,3.9927E-05
22:00.0,6767.99085,397.28315,5541.159,1320,0.015277778,4.18283E-05
23:00.0,6767.884124,396.903421,5541.028,1380,0.015972222,4.37296E-05
24:00.0,6767.86319,396.574388,5541.002,1440,0.016666667,4.56308E-05
25:00.0,6767.928398,396.312555,5541.082,1500,0.017361111,4.75321E-05
26:00.0,6768.079854,396.139771,5541.268,1560,0.018055556,4.94334E-05
27:00.0,6768.316409,396.083744,5541.559,1620,0.01875,5.13347E-05
28:00.0,6768.634325,396.176027,5541.949,1680,0.019444444,5.3236E-05
29:00.0,6769.026948,396.447131,5542.432,1740,0.020138889,5.51373E-05
30:00.0,6769.485595,396.919475,5542.995,1800,0.020833333,5.70386E-05
31:00.0,6770.000551,397.600115,5543.627,1860,0.021527778,5.89398E-05
32:00.0,6770.561104,398.476225,5544.316,1920,0.022222222,6.08411E-05
33:00.0,6771.15507,399.516074,5545.046,1980,0.022916667,6.27424E-05
34:00.0,6771.769184,400.676068,5545.8,2040,0.023611111,6.46437E-05
35:00.0,6772.390768,401.910905,5546.564,2100,0.024305556,6.6545E-05
36:00.0,6773.009152,403.181222,5547.323,2160,0.025,6.84463E-05
37:00.0,6773.615192,404.454644,5548.068,2220,0.025694444,7.03476E-05
38:00.0,6774.199316,405.701744,5548.786,2280,0.026388889,7.22488E-05
39:00.0,6774.750374,406.892714,5549.463,2340,0.027083333,7.41501E-05
40:00.0,6775.256589,407.998366,5550.085,2400,0.027777778,7.60514E-05
41:00.0,6775.707218,408.993034,5550.638,2460,0.028472222,7.79527E-05
42:00.0,6776.092674,409.854596,5551.112,2520,0.029166667,7.9854E-05
43:00.0,6776.403089,410.561298,5551.493,2580,0.029861111,8.17553E-05
44:00.0,6776.627748,411.090214,5551.769,2640,0.030555556,8.36566E-05
45:00.0,6776.757193,411.421128,5551.929,2700,0.03125,8.55578E-05
46:00.0,6776.786611,411.543204,5551.965,2760,0.031944444,8.74591E-05
47:00.0,6776.71729,411.457971,5551.88,2820,0.032638889,8.93604E-05
48:00.0,6776.554677,411.175544,5551.68,2880,0.033333333,9.12617E-05
49:00.0,6776.304864,410.707603,5551.373,2940,0.034027778,9.3163E-05
50:00.0,6775.972585,410.063327,5550.964,3000,0.034722222,9.50643E-05
51:00.0,6775.562005,409.250955,5550.46,3060,0.035416667,9.69655E-05
52:00.0,6775.078925,408.282263,5549.866,3120,0.036111111,9.88668E-05
53:00.0,6774.531678,407.174513,5549.194,3180,0.036805556,0.000100768
54:00.0,6773.931422,405.951255,5548.456,3240,0.0375,0.000102669
55:00.0,6773.289457,404.637211,5547.668,3300,0.038194444,0.000104571
56:00.0,6772.616385,403.256998,5546.841,3360,0.038888889,0.000106472
57:00.0,6771.922991,401.837535,5545.989,3420,0.039583333,0.000108373
58:00.0,6771.221749,400.411844,5545.127,3480,0.040277778,0.000110275
59:00.0,6770.526991,399.020115,5544.274,3540,0.040972222,0.000112176
00:00.0,6769.852947,397.706192,5543.446,3600,0.041666667,0.000114077
01:00.0,6769.211258,396.512537,5542.658,3660,0.042361111,0.000115978
02:00.0,6768.610428,395.477939,5541.92,3720,0.043055556,0.00011788
03:00.0,6768.057791,394.637179,5541.241,3780,0.04375,0.000119781
04:00.0,6767.561979,394.016727,5540.632,3840,0.044444444,0.000121682
05:00.0,6767.133391,393.625033,5540.106,3900,0.045138889,0.000123584
06:00.0,6766.782274,393.446695,5539.675,3960,0.045833333,0.000125485
07:00.0,6766.516304,393.448476,5539.348,4020,0.046527778,0.000127386
08:00.0,6766.339629,393.591941,5539.131,4080,0.047222222,0.000129287
09:00.0,6766.253669,393.843021,5539.026,4140,0.047916667,0.000131189
10:00.0,6766.258517,394.175281,5539.032,4200,0.048611111,0.00013309
11:00.0,6766.353664,394.568974,5539.149,4260,0.049305556,0.000134991
12:00.0,6766.537672,395.008644,5539.375,4320,0.05,0.000136893
13:00.0,6766.807267,395.48104,5539.706,4380,0.050694444,0.000138794
14:00.0,6767.156799,395.974098,5540.135,4440,0.051388889,0.000140695
15:00.0,6767.578634,396.47689,5540.653,4500,0.052083333,0.000142596
16:00.0,6768.064145,396.9798,5541.249,4560,0.052777778,0.000144498
17:00.0,6768.604281,397.474201,5541.913,4620,0.053472222,0.000146399
18:00.0,6769.189244,397.951641,5542.631,4680,0.054166667,0.0001483
19:00.0,6769.807975,398.403296,5543.391,4740,0.054861111,0.000150202
20:00.0,6770.448385,398.82018,5544.178,4800,0.055555556,0.000152103
21:00.0,6771.09815,399.193563,5544.976,4860,0.05625,0.000154004
22:00.0,6771.744953,399.514854,5545.77,4920,0.056944444,0.000155905
23:00.0,6772.376025,399.775202,5546.545,4980,0.057638889,0.000157807
24:00.0,6772.978289,399.966009,5547.285,5040,0.058333333,0.000159708
25:00.0,6773.539987,400.080511,5547.975,5100,0.059027778,0.000161609
26:00.0,6774.052301,400.114699,5548.605,5160,0.059722222,0.000163511
27:00.0,6774.508641,400.065786,5549.166,5220,0.060416667,0.000165412
28:00.0,6774.901481,399.929034,5549.648,5280,0.061111111,0.000167313
29:00.0,6775.220707,399.69699,5550.04,5340,0.061805556,0.000169214
30:00.0,6775.455286,399.362802,5550.329,5400,0.0625,0.000171116
31:00.0,6775.596507,398.925955,5550.502,5460,0.063194444,0.000173017
32:00.0,6775.640537,398.404705,5550.556,5520,0.063888889,0.000174918
33:00.0,6775.587604,397.919188,5550.491,5580,0.064583333,0.00017682
34:00.0,6775.440172,397.942291,5550.31,5640,0.065277778,0.000178721
35:00.0,6775.202741,398.246009,5550.018,5700,0.065972222,0.000180622
36:00.0,6774.882819,398.524128,5549.625,5760,0.066666667,0.000182523
37:00.0,6774.490524,398.736736,5549.143,5820,0.067361111,0.000184425
38:00.0,6774.036077,398.880216,5548.585,5880,0.068055556,0.000186326
39:00.0,6773.527542,398.955911,5547.96,5940,0.06875,0.000188227
40:00.0,6772.971195,398.965061,5547.277,6000,0.069444444,0.000190129
41:00.0,6772.37386,398.909173,5546.543,6060,0.070138889,0.00019203
42:00.0,6771.744437,398.791267,5545.77,6120,0.070833333,0.000193931
43:00.0,6771.093228,398.615857,5544.97,6180,0.071527778,0.000195832
44:00.0,6770.430454,398.387875,5544.156,6240,0.072222222,0.000197734
45:00.0,6769.765898,398.112019,5543.339,6300,0.072916667,0.000199635
46:00.0,6769.109811,397.793165,5542.533,6360,0.073611111,0.000201536
47:00.0,6768.473613,397.437155,5541.752,6420,0.074305556,0.000203438
48:00.0,6767.86941,397.050992,5541.01,6480,0.075,0.000205339
49:00.0,6767.308865,396.642384,5540.322,6540,0.075694444,0.00020724
50:00.0,6766.802484,396.219256,5539.7,6600,0.076388889,0.000209141
51:00.0,6766.359588,395.7897,5539.156,6660,0.077083333,0.000211043
52:00.0,6765.988433,395.362249,5538.7,6720,0.077777778,0.000212944
53:00.0,6765.69591,394.946091,5538.341,6780,0.078472222,0.000214845
54:00.0,6765.486938,394.551034,5538.084,6840,0.079166667,0.000216747
55:00.0,6765.364175,394.187527,5537.934,6900,0.079861111,0.000218648
56:00.0,6765.328466,393.867226,5537.89,6960,0.080555556,0.000220549
57:00.0,6765.379637,393.604327,5537.953,7020,0.08125,0.00022245
58:00.0,6765.516661,393.417114,5538.121,7080,0.081944444,0.000224352
59:00.0,6765.73679,393.328607,5538.391,7140,0.082638889,0.000226253
00:00.0,6766.034643,393.365444,5538.757,7200,0.083333333,0.000228154
01:00.0,6766.4027,393.555232,5539.209,7260,0.084027778,0.000230056
02:00.0,6766.833148,393.922988,5539.737,7320,0.084722222,0.000231957
