Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6678.14,300.003,5431.181,0,0,0
01:00.0,6678.041274,300.587539,5431.06,60,0.000694444,1.90129E-06
02:00.0,6677.854014,301.086252,5430.832,120,0.001388889,3.80257E-06
03:00.0,6677.579463,301.496481,5430.497,180,0.002083333,5.70386E-06
04:00.0,6677.219976,301.815975,5430.058,240,0.002777778,7.60514E-06
05:00.0,6676.780641,302.044535,5429.523,300,0.003472222,9.50643E-06
06:00.0,6676.268807,302.184138,5428.898,360,0.004166667,1.14077E-05
07:00.0,6675.69249,302.237546,5428.195,420,0.004861111,1.3309E-05
08:00.0,6675.060241,302.207687,5427.424,480,0.005555556,1.52103E-05
09:00.0,6674.382637,302.098759,5426.598,540,0.00625,1.71116E-05
10:00.0,6673.672756,301.917296,5425.732,600,0.006944444,1.90129E-05
11:00.0,6672.944276,301.671308,5424.844,660,0.007638889,2.09141E-05
12:00.0,6672.209267,301.368265,5423.947,720,0.008333333,2.28154E-05
13:00.0,6671.47846,301.014334,5423.056,780,0.009027778,2.47167E-05
14:00.0,6670.763493,300.615701,5422.185,840,0.009722222,2.6618E-05
15:00.0,6670.07804,300.18026,5421.349,900,0.010416667,2.85193E-05
16:00.0,6669.436183,299.717638,5420.566,960,0.011111111,3.04206E-05
17:00.0,6668.849862,299.237709,5419.852,1020,0.011805556,3.23218E-05
18:00.0,6668.328106,298.749428,5419.215,1080,0.0125,3.42231E-05
19:00.0,6667.878254,298.261132,5418.667,1140,0.013194444,3.61244E-05
20:00.0,6667.507078,297.78163,5418.215,1200,0.013888889,3.80257E-05
21:00.0,6667.220336,297.320757,5417.865,1260,0.014583333,3.9927E-05
22:00.0,6667.021667,296.889168,5417.623,1320,0.015277778,4.18283E-05
23:00.0,6666.912549,296.498432,5417.49,1380,0.015972222,4.37296E-05
24:00.0,6666.893559,296.162382,5417.467,1440,0.016666667,4.56308E-05
25:00.0,6666.965371,295.899289,5417.554,1500,0.017361111,4.75321E-05
26:00.0,6667.128058,295.733251,5417.753,1560,0.018055556,4.94334E-05
27:00.0,6667.379225,295.693346,5418.059,1620,0.01875,5.13347E-05
28:00.0,6667.712894,295.810376,5418.466,1680,0.019444444,5.3236E-05
29:00.0,6668.120207,296.111895,5418.962,1740,0.020138889,5.51373E-05
30:00.0,6668.590933,296.616188,5419.536,1800,0.020833333,5.70386E-05
31:00.0,6669.113914,297.325655,5420.173,1860,0.021527778,5.89398E-05
32:00.0,6669.676311,298.222059,5420.859,1920,0.022222222,6.08411E-05
33:00.0,6670.263568,299.268295,5421.575,1980,0.022916667,6.27424E-05
34:00.0,6670.861329,300.418167,5422.304,2040,0.023611111,6.46437E-05
35:00.0,6671.457706,301.628012,5423.031,2100,0.024305556,6.6545E-05
36:00.0,6672.043182,302.861433,5423.745,2160,0.025,6.84463E-05
37:00.0,6672.608014,304.085659,5424.434,2220,0.025694444,7.03476E-05
38:00.0,6673.140254,305.266818,5425.083,2280,0.026388889,7.22488E-05
39:00.0,6673.626766,306.370816,5425.676,2340,0.027083333,7.41501E-05
40:00.0,6674.055636,307.36769,5426.199,2400,0.027777778,7.60514E-05
41:00.0,6674.416527,308.232281,5426.639,2460,0.028472222,7.79527E-05
42:00.0,6674.698573,308.939737,5426.983,2520,0.029166667,7.9854E-05
43:00.0,6674.889298,309.46267,5427.216,2580,0.029861111,8.17553E-05
44:00.0,6674.977368,309.776025,5427.323,2640,0.030555556,8.36566E-05
45:00.0,6674.957256,309.866259,5427.299,2700,0.03125,8.55578E-05
46:00.0,6674.831158,309.735455,5427.145,2760,0.031944444,8.74591E-05
47:00.0,6674.606138,309.395967,5426.87,2820,0.032638889,8.93604E-05
48:00.0,6674.289367,308.86092,5426.484,2880,0.033333333,9.12617E-05
49:00.0,6673.885795,308.139312,5425.992,2940,0.034027778,9.3163E-05
50:00.0,6673.399687,307.238821,5425.399,3000,0.034722222,9.50643E-05
