Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
23:00.0,6674.019477,300.644731,5426.155,4980,0.057638889,0.000157807
24:00.0,6674.557539,300.655951,5426.811,5040,0.058333333,0.000159708
25:00.0,6675.037853,300.580093,5427.397,5100,0.059027778,0.000161609
26:00.0,6675.45288,300.412272,5427.903,5160,0.059722222,0.000163511
27:00.0,6675.790917,300.143448,5428.315,5220,0.060416667,0.000165412
28:00.0,6676.038509,299.764555,5428.617,5280,0.061111111,0.000167313
29:00.0,6676.185835,299.273637,5428.797,5340,0.061805556,0.000169214
30:00.0,6676.229475,298.690161,5428.85,5400,0.0625,0.000171116
31:00.0,6676.170532,298.332502,5428.778,5460,0.063194444,0.000173017
32:00.0,6676.011908,298.723218,5428.585,5520,0.063888889,0.000174918
33:00.0,6675.758574,299.119672,5428.276,5580,0.064583333,0.00017682
34:00.0,6675.419379,299.433728,5427.862,5640,0.065277778,0.000178721
35:00.0,6675.00624,299.663372,5427.358,5700,0.065972222,0.000180622
36:00.0,6674.530329,299.813515,5426.778,5760,0.066666667,0.000182523
37:00.0,6673.99943,299.887926,5426.13,5820,0.067361111,0.000184425
38:00.0,6673.419423,299.888304,5425.423,5880,0.068055556,0.000186326
39:00.0,6672.797755,299.816613,5424.665,5940,0.06875,0.000188227
40:00.0,6672.144717,299.676925,5423.869,6000,0.069444444,0.000190129
41:00.0,6671.471716,299.47483,5423.048,6060,0.070138889,0.00019203
42:00.0,6670.789458,299.21585,5422.216,6120,0.070833333,0.000193931
43:00.0,6670.10833,298.905102,5421.386,6180,0.071527778,0.000195832
44:00.0,6669.439925,298.548366,5420.571,6240,0.072222222,0.000197734
45:00.0,6668.797391,298.153015,5419.788,6300,0.072916667,0.000199635
46:00.0,6668.194126,297.727744,5419.052,6360,0.073611111,0.000201536
47:00.0,6667.64236,297.281709,5418.38,6420,0.074305556,0.000203438
48:00.0,6667.152829,296.824114,5417.783,6480,0.075,0.000205339
49:00.0,6666.735138,296.364518,5417.274,6540,0.075694444,0.00020724
