Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6778.137,400,5553.624,0,0,0
01:00.0,6778.092262,400.60881,5553.569,60,0.000694444,1.90129E-06
02:00.0,6777.963672,401.130134,5553.411,120,0.001388889,3.80257E-06
03:00.0,6777.752549,401.561756,5553.152,180,0.002083333,5.70386E-06
04:00.0,6777.461212,401.902007,5552.794,240,0.002777778,7.60514E-06
05:00.0,6777.094172,402.150988,5552.343,300,0.003472222,9.50643E-06
06:00.0,6776.657965,402.310778,5551.807,360,0.004166667,1.14077E-05
07:00.0,6776.16007,402.384454,5551.195,420,0.004861111,1.3309E-05
08:00.0,6775.608601,402.375463,5550.517,480,0.005555556,1.52103E-05
09:00.0,6775.01322,402.288263,5549.786,540,0.00625,1.71116E-05
10:00.0,6774.385655,402.129164,5549.014,600,0.006944444,1.90129E-05
11:00.0,6773.738599,401.905922,5548.219,660,0.007638889,2.09141E-05
12:00.0,6773.083963,401.626244,5547.415,720,0.008333333,2.28154E-05
13:00.0,6772.432478,401.29687,5546.615,780,0.009027778,2.47167E-05
14:00.0,6771.794993,400.924208,5545.832,840,0.009722222,2.6618E-05
15:00.0,6771.183622,400.515676,5545.081,900,0.010416667,2.85193E-05
16:00.0,6770.611138,400.08015,5544.377,960,0.011111111,3.04206E-05
17:00.0,6770.089135,399.627129,5543.736,1020,0.011805556,3.23218E-05
18:00.0,6769.626894,399.165667,5543.169,1080,0.0125,3.42231E-05
19:00.0,6769.231797,398.704262,5542.683,1140,0.013194444,3.61244E-05
20:00.0,6768.910316,398.251649,5542.288,1200,0.013888889,3.80257E-05
21:00.0,6768.66817,397.817579,5541.991,1260,0.014583333,3.9927E-05
22:00.0,6768.509584,397.413026,5541.796,1320,0.015277778,4.18283E-05
23:00.0,6768.436792,397.050275,5541.707,1380,0.015972222,4.37296E-05
24:00.0,6768.450571,396.743817,5541.724,1440,0.016666667,4.56308E-05
25:00.0,6768.551241,396.512313,5541.847,1500,0.017361111,4.75321E-05
26:00.0,6768.73888,396.380652,5542.078,1560,0.018055556,4.94334E-05
27:00.0,6769.012306,396.380364,5542.414,1620,0.01875,5.13347E-05
28:00.0,6769.367747,396.546718,5542.85,1680,0.019444444,5.3236E-05
29:00.0,6769.798504,396.911874,5543.379,1740,0.020138889,5.51373E-05
30:00.0,6770.29584,397.495615,5543.99,1800,0.020833333,5.70386E-05
31:00.0,6770.84997,398.297723,5544.671,1860,0.021527778,5.89398E-05
32:00.0,6771.450104,399.296094,5545.408,1920,0.022222222,6.08411E-05
33:00.0,6772.08397,400.451391,5546.187,1980,0.022916667,6.27424E-05
34:00.0,6772.738222,401.715981,5546.99,2040,0.023611111,6.46437E-05
35:00.0,6773.400106,403.043673,5547.804,2100,0.024305556,6.6545E-05
36:00.0,6774.058885,404.395949,5548.613,2160,0.025,6.84463E-05
37:00.0,6774.705358,405.741788,5549.407,2220,0.025694444,7.03476E-05
38:00.0,6775.329898,407.053032,5550.175,2280,0.026388889,7.22488E-05
39:00.0,6775.921301,408.300938,5550.901,2340,0.027083333,7.41501E-05
40:00.0,6776.467726,409.457231,5551.573,2400,0.027777778,7.60514E-05
41:00.0,6776.958352,410.496996,5552.176,2460,0.028472222,7.79527E-05
42:00.0,6777.383506,411.398688,5552.698,2520,0.029166667,7.9854E-05
43:00.0,6777.733234,412.140993,5553.128,2580,0.029861111,8.17553E-05
44:00.0,6777.996755,412.701429,5553.452,2640,0.030555556,8.36566E-05
45:00.0,6778.164557,413.060348,5553.658,2700,0.03125,8.55578E-05
46:00.0,6778.23178,413.207598,5553.741,2760,0.031944444,8.74591E-05
47:00.0,6778.199661,413.145404,5553.701,2820,0.032638889,8.93604E-05
48:00.0,6778.073601,412.884482,5553.546,2880,0.033333333,9.12617E-05
49:00.0,6777.859645,412.437007,5553.283,2940,0.034027778,9.3163E-05
50:00.0,6777.562472,411.812634,5552.918,3000,0.034722222,9.50643E-05
51:00.0,6777.186172,411.020164,5552.456,3060,0.035416667,9.69655E-05
52:00.0,6776.736438,410.072067,5551.903,3120,0.036111111,9.88668E-05
53:00.0,6776.221809,408.987139,5551.271,3180,0.036805556,0.000100768
54:00.0,6775.653015,407.789355,5550.572,3240,0.0375,0.000102669
55:00.0,6775.041143,406.504525,5549.82,3300,0.038194444,0.000104571
56:00.0,6774.396697,405.158944,5549.028,3360,0.038888889,0.000106472
57:00.0,6773.730396,403.781784,5548.209,3420,0.039583333,0.000108373
58:00.0,6773.054694,402.40886,5547.379,3480,0.040277778,0.000110275
59:00.0,6772.383949,401.083321,5546.555,3540,0.040972222,0.000112176
00:00.0,6771.73249,399.85135,5545.755,3600,0.041666667,0.000114077
01:00.0,6771.112129,398.755879,5544.993,3660,0.042361111,0.000115978
02:00.0,6770.531577,397.832627,5544.28,3720,0.043055556,0.00011788
03:00.0,6769.998374,397.108404,5543.625,3780,0.04375,0.000119781
04:00.0,6769.521323,396.597794,5543.039,3840,0.044444444,0.000121682
05:00.0,6769.110957,396.298162,5542.535,3900,0.045138889,0.000123584
06:00.0,6768.777643,396.188924,5542.125,3960,0.045833333,0.000125485
07:00.0,6768.529161,396.23809,5541.82,4020,0.046527778,0.000127386
08:00.0,6768.369729,396.411575,5541.624,4080,0.047222222,0.000129287
09:00.0,6768.300788,396.679658,5541.54,4140,0.047916667,0.000131189
10:00.0,6768.322389,397.019033,5541.566,4200,0.048611111,0.00013309
11:00.0,6768.433953,397.411859,5541.703,4260,0.049305556,0.000134991
12:00.0,6768.633959,397.843758,5541.949,4320,0.05,0.000136893
13:00.0,6768.91908,398.302092,5542.299,4380,0.050694444,0.000138794
14:00.0,6769.283648,398.775192,5542.747,4440,0.051388889,0.000140695
15:00.0,6769.720046,399.252418,5543.283,4500,0.052083333,0.000142596
16:00.0,6770.21969,399.724382,5543.897,4560,0.052777778,0.000144498
17:00.0,6770.773614,400.182663,5544.577,4620,0.053472222,0.000146399
18:00.0,6771.372157,400.61908,5545.312,4680,0.054166667,0.0001483
19:00.0,6772.004434,401.025213,5546.089,4740,0.054861111,0.000150202
20:00.0,6772.658536,401.392608,5546.893,4800,0.055555556,0.000152103
21:00.0,6773.322305,401.713155,5547.708,4860,0.05625,0.000154004
22:00.0,6773.983573,401.978965,5548.52,4920,0.056944444,0.000155905
23:00.0,6774.629709,402.182043,5549.314,4980,0.057638889,0.000157807
24:00.0,6775.247728,402.314755,5550.074,5040,0.058333333,0.000159708
25:00.0,6775.825865,402.371206,5550.784,5100,0.059027778,0.000161609
26:00.0,6776.355218,402.347905,5551.435,5160,0.059722222,0.000163511
27:00.0,6776.829114,402.242258,5552.017,5220,0.060416667,0.000165412
28:00.0,6777.24022,402.049889,5552.522,5280,0.061111111,0.000167313
29:00.0,6777.578509,401.76377,5552.938,5340,0.061805556,0.000169214
30:00.0,6777.832708,401.376657,5553.25,5400,0.0625,0.000171116
31:00.0,6777.994008,400.884867,5553.449,5460,0.063194444,0.000173017
32:00.0,6778.058452,400.291723,5553.528,5520,0.063888889,0.000174918
33:00.0,6778.026209,400.194756,5553.488,5580,0.064583333,0.00017682
34:00.0,6777.899744,400.72572,5553.333,5640,0.065277778,0.000178721
35:00.0,6777.683545,401.164051,5553.067,5700,0.065972222,0.000180622
36:00.0,6777.385066,401.508741,5552.7,5760,0.066666667,0.000182523
37:00.0,6777.014392,401.764582,5552.245,5820,0.067361111,0.000184425
38:00.0,6776.581797,401.937828,5551.713,5880,0.068055556,0.000186326
39:00.0,6776.095453,402.033541,5551.115,5940,0.06875,0.000188227
40:00.0,6775.561708,402.054793,5550.46,6000,0.069444444,0.000190129
41:00.0,6774.98739,402.004113,5549.754,6060,0.070138889,0.00019203
42:00.0,6774.381384,401.885259,5549.009,6120,0.070833333,0.000193931
