Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
33:00.0,500.770511,8.437932,0.00001,0.000002,0,0.000001
34:00.0,500.198238,8.437895,0.000011,0.000002,0,0.000001
35:00.0,500.020437,8.437813,0.000011,0.000002,0,0.000001
36:00.0,500.537663,8.437674,0.000012,0.000002,0,0.000001
37:00.0,500.972323,8.437484,0.000012,0.000002,0,0.000001
38:00.0,501.324029,8.43727,0.000013,0.000002,0,0.000001
39:00.0,501.595535,8.437054,0.000014,0.000002,0,0.000001
40:00.0,501.788951,8.436836,0.000015,0.000002,0,0.000001
41:00.0,501.905538,8.436607,0.000015,0.000002,0,0.000001
42:00.0,501.947004,8.436362,0.000016,0.000002,0,0.000001
43:00.0,501.916457,8.436111,0.000017,0.000002,0,0.000001
44:00.0,501.818112,8.435869,0.000018,0.000002,0,0.000001
45:00.0,501.656574,8.435642,0.000019,0.000002,0,0.000001
46:00.0,501.436767,8.435437,0.00002,0.000002,0,0.000001
47:00.0,501.164472,8.435266,0.000021,0.000002,0,0.000001
48:00.0,500.846568,8.435152,0.000022,0.000002,0,0.000001
49:00.0,500.490545,8.435115,0.000023,0.000002,0,0.000001
50:00.0,500.103793,8.435162,0.000024,0.000002,0,0.000001
51:00.0,499.69345,8.435299,0.000025,0.000002,0,0.000001
52:00.0,499.266882,8.435532,0.000026,0.000002,0.000001,0.000001
53:00.0,498.832179,8.435876,0.000027,0.000002,0.000001,0.000001
54:00.0,498.398158,8.436344,0.000028,0.000002,0.000001,0.000001
55:00.0,497.973997,8.436944,0.000028,0.000002,0.000001,0.000001
56:00.0,497.569081,8.43767,0.000029,0.000002,0.000001,0.000001
57:00.0,497.193519,8.438519,0.00003,0.000002,0.000001,0.000001
58:00.0,496.85918,8.439486,0.00003,0.000002,0.000001,0.000001
59:00.0,496.580671,8.440573,0.000031,0.000002,0.000001,0.000001
00:00.0,496.375825,8.441777,0.000032,0.000002,0.000001,0.000001
01:00.0,496.26581,8.443085,0.000032,0.000002,0.000001,0.000001
02:00.0,496.275304,8.444482,0.000033,0.000002,0,0.000001
03:00.0,496.432305,8.445958,0.000033,0.000002,0,0.000001
04:00.0,496.765415,8.447513,0.000034,0.000002,0,0.000001
05:00.0,497.296354,8.44915,0.000034,0.000002,0,0.000001
06:00.0,498.029881,8.450852,0.000034,0.000002,0,0.000001
07:00.0,498.948829,8.452591,0.000035,0.000002,0,0.000001
08:00.0,500.019192,8.454333,0.000035,0.000002,0,0.000001
09:00.0,501.200248,8.456055,0.000035,0.000002,0,0.000001
10:00.0,502.451403,8.457741,0.000035,0.000002,0,0.000001
11:00.0,503.734036,8.459369,0.000035,0.000002,0,0.000001
12:00.0,505.012514,8.460915,0.000035,0.000002,0,0.000001
13:00.0,506.256748,8.462359,0.000035,0.000002,0,0.000001
14:00.0,507.443705,8.463704,0.000034,0.000002,0,0.000001
15:00.0,508.554761,8.464961,0.000034,0.000002,0,0.000001
16:00.0,509.570637,8.466124,0.000034,0.000002,0,0.000001
17:00.0,510.469146,8.467162,0.000033,0.000002,0,0.000001
18:00.0,511.228104,8.468038,0.000032,0.000002,0,0.000001
19:00.0,511.829705,8.468735,0.000031,0.000002,0,0.000001
20:00.0,512.261275,8.469252,0.00003,0.000002,0,0.000001
21:00.0,512.512322,8.469582,0.00003,0.000002,0,0.000001
22:00.0,512.57284,8.469702,0.000029,0.000002,0,0.000001
23:00.0,512.436311,8.469585,0.000028,0.000002,0,0.000001
24:00.0,512.104784,8.46923,0.000027,0.000002,0,0.000001
25:00.0,511.590214,8.468666,0.000026,0.000002,0,0.000001
26:00.0,510.909924,8.467938,0.000025,0.000002,0,0.000001
27:00.0,510.080316,8.467069,0.000024,0.000002,0,0.000001
28:00.0,509.115406,8.466056,0.000023,0.000002,0,0.000001
29:00.0,508.029478,8.464887,0.000022,0.000002,0,0.000001
30:00.0,506.842514,8.463568,0.00002,0.000002,0,0.000001
31:00.0,505.581972,8.462132,0.000019,0.000002,0,0.000001
32:00.0,504.279742,8.460622,0.000018,0.000002,0,0.000001
33:00.0,502.967432,8.459068,0.000017,0.000002,0,0.000001
34:00.0,501.674639,8.457471,0.000015,0.000002,0,0.000001
35:00.0,500.432128,8.455823,0.000015,0.000002,0,0.000001
36:00.0,499.276838,8.454127,0.000014,0.000002,0,0.000001
37:00.0,498.252477,8.452412,0.000013,0.000002,0,0.000001
38:00.0,497.401604,8.450728,0.000013,0.000002,0,0.000001
39:00.0,496.752483,8.449112,0.000013,0.000002,0,0.000001
40:00.0,496.310451,8.447573,0.000012,0.000002,0,0.000001
41:00.0,496.060593,8.446098,0.000012,0.000002,0,0.000001
42:00.0,495.977758,8.444678,0.000012,0.000002,0,0.000001
43:00.0,496.034987,8.443325,0.000012,0.000002,0,0.000001
44:00.0,496.206786,8.442071,0.000012,0.000002,0,0.000001
45:00.0,496.469577,8.440941,0.000012,0.000002,0,0.000001
46:00.0,496.802071,8.439947,0.000012,0.000002,0,0.000001
47:00.0,497.186042,8.439081,0.000011,0.000002,0,0.000001
48:00.0,497.606698,8.438336,0.000011,0.000002,0,0.000001
49:00.0,498.052188,8.437707,0.00001,0.000002,0,0.000001
