Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
13:00.0,481.299708,8.492788,0.000015,0.000002,0.000001,0.000001
14:00.0,482.320273,8.493233,0.000015,0.000002,0.000001,0.000001
15:00.0,483.381405,8.493704,0.000015,0.000002,0,0.000001
16:00.0,484.460068,8.494182,0.000015,0.000002,0,0.000001
17:00.0,485.533191,8.494638,0.000015,0.000002,0,0.000001
18:00.0,486.579153,8.495044,0.000015,0.000002,0,0.000001
19:00.0,487.579838,8.495384,0.000015,0.000002,0,0.000001
20:00.0,488.5205,8.495662,0.000015,0.000002,0,0.000001
21:00.0,489.387272,8.495882,0.000016,0.000002,0,0.000001
22:00.0,490.165103,8.496037,0.000016,0.000002,0,0.000001
23:00.0,490.838167,8.49611,0.000016,0.000002,0,0.000001
24:00.0,491.391604,8.496087,0.000016,0.000002,0,0.000001
25:00.0,491.812431,8.495955,0.000016,0.000002,0,0.000001
26:00.0,492.089495,8.495704,0.000016,0.000002,0,0.000001
27:00.0,492.213937,8.49532,0.000015,0.000002,0,0.000001
28:00.0,492.1803,8.494799,0.000015,0.000002,0,0.000001
29:00.0,491.986875,8.494143,0.000015,0.000002,0,0.000001
30:00.0,491.634758,8.493355,0.000014,0.000002,0,0.000001
31:00.0,491.127924,8.492439,0.000014,0.000002,0,0.000001
32:00.0,490.474359,8.491398,0.000013,0.000002,0,0.000001
33:00.0,489.686555,8.490253,0.000013,0.000002,0,0.000001
34:00.0,488.780033,8.489029,0.000013,0.000002,0,0.000001
35:00.0,487.770996,8.487742,0.000013,0.000002,0,0.000001
36:00.0,486.677124,8.486389,0.000013,0.000002,0,0.000001
37:00.0,485.522469,8.484971,0.000014,0.000002,0,0.000001
38:00.0,484.343503,8.483508,0.000014,0.000002,0,0.000001
39:00.0,483.195067,8.482027,0.000015,0.000002,0,0.000001
40:00.0,482.159154,8.480541,0.000016,0.000002,0,0.000001
41:00.0,481.343094,8.479039,0.000017,0.000002,0,0.000001
42:00.0,480.817768,8.477519,0.000018,0.000002,0,0.000001
43:00.0,480.543487,8.476005,0.000019,0.000002,0,0.000001
44:00.0,480.423948,8.474555,0.00002,0.000002,0,0.000001
45:00.0,480.384945,8.47322,0.000021,0.000002,0,0.000001
46:00.0,480.385238,8.472024,0.000022,0.000002,0,0.000001
47:00.0,480.403741,8.470973,0.000023,0.000002,0,0.000001
48:00.0,480.429615,8.470064,0.000025,0.000002,0,0.000001
49:00.0,480.457072,8.469295,0.000026,0.000002,0,0.000001
50:00.0,480.482912,8.468663,0.000027,0.000002,0,0.000001
51:00.0,480.505324,8.468164,0.000028,0.000002,0,0.000001
52:00.0,480.523267,8.467805,0.000029,0.000002,0,0.000001
53:00.0,480.536125,8.4676,0.00003,0.000002,0,0.000001
54:00.0,480.543536,8.467561,0.000031,0.000002,0,0.000001
55:00.0,480.545334,8.467691,0.000032,0.000002,0,0.000001
56:00.0,480.541541,8.467986,0.000033,0.000002,0,0.000001
57:00.0,480.532415,8.468451,0.000033,0.000002,0,0.000001
58:00.0,480.518615,8.469093,0.000034,0.000002,0.000001,0.000001
59:00.0,480.501519,8.46991,0.000035,0.000002,0.000001,0.000001
00:00.0,480.483791,8.470881,0.000036,0.000002,0.000001,0.000001
01:00.0,480.470449,8.471977,0.000037,0.000002,0.000001,0.000001
02:00.0,480.471081,8.473183,0.000038,0.000002,0.000001,0.000001
03:00.0,480.504725,8.474493,0.000039,0.000002,0.000001,0.000001
04:00.0,480.610073,8.475897,0.00004,0.000002,0,0.000001
05:00.0,480.861735,8.477374,0.000041,0.000002,0,0.000001
06:00.0,481.367533,8.47889,0.000042,0.000002,0,0.000001
07:00.0,482.182865,8.480416,0.000043,0.000002,0,0.000001
08:00.0,483.231855,8.481933,0.000043,0.000002,0,0.000001
09:00.0,484.39238,8.483426,0.000044,0.000002,0,0.000001
10:00.0,485.575882,8.484884,0.000044,0.000002,0,0.000001
11:00.0,486.728021,8.486301,0.000045,0.000002,0,0.000001
12:00.0,487.813209,8.487663,0.000045,0.000002,0,0.000001
13:00.0,488.805177,8.488954,0.000044,0.000002,0,0.000001
14:00.0,489.683163,8.490155,0.000044,0.000002,0,0.000001
15:00.0,490.431083,8.491249,0.000043,0.000002,0,0.000001
16:00.0,491.03739,8.492229,0.000042,0.000002,0,0.000001
17:00.0,491.49437,8.493091,0.000041,0.000002,0,0.000001
18:00.0,491.79731,8.493832,0.00004,0.000002,0,0.000001
19:00.0,491.944349,8.494449,0.000039,0.000002,0,0.000001
20:00.0,491.936744,8.494946,0.000038,0.000002,0,0.000001
21:00.0,491.778517,8.495329,0.000037,0.000002,0,0.000001
22:00.0,491.475342,8.495604,0.000036,0.000002,0,0.000001
23:00.0,491.033843,8.495767,0.000035,0.000002,0,0.000001
24:00.0,490.462248,8.495817,0.000033,0.000002,0,0.000001
25:00.0,489.771756,8.495757,0.000032,0.000002,0,0.000001
26:00.0,488.977075,8.495603,0.00003,0.000002,0,0.000001
27:00.0,488.095441,8.495379,0.000029,0.000002,0,0.000001
28:00.0,487.144923,8.495102,0.000027,0.000002,0,0.000001
29:00.0,486.143185,8.494787,0.000025,0.000002,0,0.000001
30:00.0,485.107929,8.494442,0.000024,0.000002,0,0.000001
31:00.0,484.057768,8.494081,0.000022,0.000002,0,0.000001
32:00.0,483.012501,8.493723,0.00002,0.000002,0,0.000001
33:00.0,481.992495,8.493389,0.000019,0.000002,0,0.000001
34:00.0,481.016964,8.493092,0.000017,0.000002,0,0.000001
35:00.0,480.103117,8.492827,0.000016,0.000002,0,0.000001
36:00.0,479.268035,8.492584,0.000015,0.000002,0,0.000001
37:00.0,478.532883,8.492359,0.000015,0.000002,0,0.000001
38:00.0,477.926395,8.492169,0.000014,0.000002,0,0.000001
39:00.0,477.484079,8.492042,0.000014,0.000002,0,0.000001
40:00.0,477.241691,8.491997,0.000014,0.000002,0,0.000001
41:00.0,477.224706,8.492042,0.000014,0.000002,0,0.000001
42:00.0,477.43903,8.492177,0.000014,0.000002,0,0.000001
43:00.0,477.869124,8.492402,0.000015,0.000002,0.000001,0.000001
44:00.0,478.484094,8.492712,0.000015,0.000002,0.000001,0.000001
45:00.0,479.246644,8.493085,0.000015,0.000002,0.000001,0.000001
46:00.0,480.120913,8.493488,0.000015,0.000002,0.000001,0.000001
47:00.0,481.077558,8.493897,0.000015,0.000002,0.000001,0.000001
48:00.0,482.094739,8.494309,0.000015,0.000002,0.000001,0.000001
49:00.0,483.15505,8.494735,0.000015,0.000002,0.000001,0.000001
50:00.0,484.241089,8.495181,0.000015,0.000002,0.000001,0.000001
51:00.0,485.332998,8.495639,0.000015,0.000002,0,0.000001
52:00.0,486.408919,8.496083,0.000015,0.000002,0,0.000001
53:00.0,487.446846,8.496488,0.000015,0.000002,0,0.000001
54:00.0,488.425937,8.496835,0.000015,0.000002,0,0.000001
55:00.0,489.32673,8.497106,0.000015,0.000002,0,0.000001
56:00.0,490.130896,8.497289,0.000016,0.000002,0,0.000001
57:00.0,490.821595,8.497364,0.000016,0.000002,0,0.000001
58:00.0,491.384893,8.497315,0.000016,0.000002,0,0.000001
59:00.0,491.811399,8.497139,0.000016,0.000002,0,0.000001
00:00.0,492.096091,8.496847,0.000016,0.000002,0,0.000001
01:00.0,492.235437,8.496455,0.000016,0.000002,0,0.000001
02:00.0,492.224105,8.495963,0.000015,0.000002,0,0.000001
03:00.0,492.055246,8.495347,0.000015,0.000002,0,0.000001
04:00.0,491.724871,8.494584,0.000014,0.000002,0,0.000001
05:00.0,491.236043,8.493681,0.000014,0.000002,0,0.000001
06:00.0,490.597758,8.492667,0.000013,0.000002,0,0.000001
07:00.0,489.819409,8.491562,0.000013,0.000002,0,0.000001
08:00.0,488.90919,8.490354,0.000013,0.000002,0,0.000001
09:00.0,487.879158,8.489023,0.000013,0.000002,0,0.000001
10:00.0,486.751817,8.487582,0.000013,0.000002,0,0.000001
11:00.0,485.560817,8.486081,0.000014,0.000002,0,0.000001
12:00.0,484.347292,8.484564,0.000014,0.000002,0,0.000001
13:00.0,483.162697,8.483039,0.000015,0.000002,0,0.000001
14:00.0,482.084044,8.48149,0.000016,0.000002,0,0.000001
15:00.0,481.219043,8.479921,0.000017,0.000002,0,0.000001
16:00.0,480.646387,8.478371,0.000018,0.000002,0,0.000001
17:00.0,480.335519,8.476879,0.000019,0.000002,0,0.000001
18:00.0,480.192007,8.475449,0.00002,0.000002,0,0.000001
19:00.0,480.139439,8.474069,0.000021,0.000002,0,0.000001
20:00.0,480.13412,8.472748,0.000022,0.000002,0,0.000001
21:00.0,480.15267,8.471534,0.000023,0.000002,0,0.000001
22:00.0,480.182217,8.470484,0.000025,0.000002,0,0.000001
23:00.0,480.215493,8.469624,0.000026,0.000002,0,0.000001
24:00.0,480.248413,8.46895,0.000027,0.000002,0,0.000001
25:00.0,480.278677,8.468453,0.000028,0.000002,0,0.000001
26:00.0,480.304898,8.468136,0.000029,0.000002,0,0.000001
27:00.0,480.326157,8.468003,0.00003,0.000002,0,0.000001
28:00.0,480.341819,8.468044,0.000031,0.000002,0,0.000001
29:00.0,480.351499,8.46824,0.000032,0.000002,0,0.000001
30:00.0,480.355045,8.468578,0.000033,0.000002,0,0.000001
31:00.0,480.352567,8.469057,0.000033,0.000002,0,0.000001
32:00.0,480.344562,8.469675,0.000034,0.000002,0,0.000001
33:00.0,480.332165,8.470429,0.000035,0.000002,0,0.000001
34:00.0,480.317635,8.471317,0.000036,0.000002,0,0.000001
35:00.0,480.305325,8.472339,0.000037,0.000002,0,0.000001
36:00.0,480.303681,8.473491,0.000038,0.000002,0,0.000001
37:00.0,480.329371,8.47476,0.000039,0.000002,0.000001,0.000001
38:00.0,480.415929,8.476123,0.00004,0.000002,0.000001,0.000001
39:00.0,480.629217,8.47756,0.000041,0.000002,0.000001,0.000001
40:00.0,481.074433,8.479055,0.000042,0.000002,0.000001,0.000001
41:00.0,481.830821,8.480587,0.000043,0.000002,0.000001,0.000001
42:00.0,482.848632,8.482128,0.000043,0.000002,0,0.000001
43:00.0,484.003411,8.483653,0.000044,0.000002,0,0.000001
44:00.0,485.194935,8.485143,0.000045,0.000002,0,0.000001
45:00.0,486.360674,8.486582,0.000045,0.000002,0,0.000001
46:00.0,487.460688,8.487957,0.000045,0.000002,0,0.000001
47:00.0,488.467505,8.489254,0.000045,0.000002,0,0.000001
48:00.0,489.361467,8.490466,0.000044,0.000002,0,0.000001
49:00.0,490.12759,8.491586,0.000044,0.000002,0,0.000001
50:00.0,490.753036,8.492599,0.000043,0.000002,0,0.000001
51:00.0,491.2268,8.493485,0.000042,0.000002,0,0.000001
52:00.0,491.541747,8.49423,0.000041,0.000002,0,0.000001
53:00.0,491.696214,8.494842,0.00004,0.000002,0,0.000001
54:00.0,491.692837,8.495332,0.000039,0.000002,0,0.000001
55:00.0,491.536045,8.495705,0.000037,0.000002,0,0.000001
56:00.0,491.231468,8.49596,0.000036,0.000002,0,0.000001
57:00.0,490.787603,8.4961,0.000035,0.000002,0,0.000001
58:00.0,490.216689,8.496144,0.000034,0.000002,0,0.000001
59:00.0,489.532879,8.49611,0.000032,0.000002,0,0.000001
00:00.0,488.749814,8.496005,0.000031,0.000002,0,0.000001
01:00.0,487.880667,8.495827,0.000029,0.000002,0,0.000001
02:00.0,486.940258,8.49558,0.000027,0.000002,0,0.000001
03:00.0,485.945968,8.495286,0.000026,0.000002,0,0.000001
04:00.0,484.916519,8.494964,0.000024,0.000002,0,0.000001
05:00.0,483.870441,8.494629,0.000022,0.000002,0,0.000001
06:00.0,482.825907,8.494288,0.00002,0.000002,0,0.000001
07:00.0,481.802122,8.493956,0.000019,0.000002,0,0.000001
08:00.0,480.819395,8.49365,0.000018,0.000002,0,0.000001
09:00.0,479.898351,8.493383,0.000017,0.000002,0,0.000001
10:00.0,479.060483,8.493158,0.000016,0.000002,0,0.000001
11:00.0,478.33035,8.492986,0.000015,0.000002,0,0.000001
12:00.0,477.736589,8.492883,0.000015,0.000002,0,0.000001
13:00.0,477.309126,8.492857,0.000014,0.000002,0,0.000001
14:00.0,477.07356,8.492897,0.000014,0.000002,0,0.000001
15:00.0,477.045969,8.492982,0.000014,0.000002,0,0.000001
16:00.0,477.230156,8.493103,0.000014,0.000002,0.000001,0.000001
17:00.0,477.617214,8.493271,0.000014,0.000002,0.000001,0.000001
18:00.0,478.187258,8.493504,0.000015,0.000002,0.000001,0.000001
19:00.0,478.913601,8.493807,0.000015,0.000002,0.000001,0.000001
20:00.0,479.76798,8.494175,0.000015,0.000002,0.000001,0.000001
21:00.0,480.723645,8.494604,0.000015,0.000002,0.000001,0.000001
22:00.0,481.754854,8.495085,0.000015,0.000002,0,0.000001
23:00.0,482.835189,8.495595,0.000015,0.000002,0,0.000001
24:00.0,483.93816,8.496098,0.000015,0.000002,0,0.000001
25:00.0,485.040126,8.496565,0.000015,0.000002,0,0.000001
26:00.0,486.121991,8.496988,0.000015,0.000002,0,0.000001
27:00.0,487.167408,8.49737,0.000015,0.000002,0,0.000001
28:00.0,488.159473,8.49771,0.000015,0.000002,0,0.000001
29:00.0,489.079493,8.497988,0.000015,0.000002,0,0.000001
30:00.0,489.908585,8.498183,0.000016,0.000002,0,0.000001
31:00.0,490.629751,8.498278,0.000016,0.000002,0,0.000001
32:00.0,491.228547,8.498266,0.000016,0.000002,0,0.000001
33:00.0,491.692734,8.498141,0.000016,0.000002,0,0.000001
34:00.0,492.012047,8.497898,0.000016,0.000002,0,0.000001
35:00.0,492.178128,8.497531,0.000016,0.000002,0,0.000001
36:00.0,492.18447,8.497035,0.000015,0.000002,0,0.000001
37:00.0,492.026996,8.496402,0.000015,0.000002,0,0.000001
38:00.0,491.705529,8.495625,0.000014,0.000002,0,0.000001
39:00.0,491.224839,8.494714,0.000014,0.000002,0,0.000001
40:00.0,490.593935,8.493687,0.000013,0.000002,0,0.000001
41:00.0,489.823084,8.492559,0.000013,0.000002,0,0.000001
42:00.0,488.92332,8.491333,0.000013,0.000002,0,0.000001
43:00.0,487.908525,8.490013,0.000013,0.000002,0,0.000001
44:00.0,486.797927,8.488612,0.000013,0.000002,0,0.000001
45:00.0,485.617075,8.487149,0.000014,0.000002,0,0.000001
46:00.0,484.39963,8.485632,0.000014,0.000002,0,0.000001
47:00.0,483.194647,8.484066,0.000015,0.000002,0,0.000001
48:00.0,482.079176,8.482465,0.000016,0.000002,0,0.000001
49:00.0,481.159887,8.480863,0.000017,0.000002,0,0.000001
50:00.0,480.524018,8.479296,0.000018,0.000002,0,0.000001
51:00.0,480.161164,8.477782,0.000019,0.000002,0,0.000001
52:00.0,479.985396,8.476312,0.00002,0.000002,0,0.000001
53:00.0,479.915958,8.474891,0.000021,0.000002,0,0.000001
54:00.0,479.902934,8.473551,0.000022,0.000002,0,0.000001
55:00.0,479.918709,8.472338,0.000023,0.000002,0,0.000001
56:00.0,479.948169,8.471277,0.000025,0.000002,0,0.000001
57:00.0,479.983063,8.470362,0.000026,0.000002,0,0.000001
58:00.0,480.018907,8.469586,0.000027,0.000002,0,0.000001
59:00.0,480.05317,8.468961,0.000028,0.000002,0,0.000001
00:00.0,480.084259,8.468518,0.000029,0.000002,0,0.000001
01:00.0,480.111054,8.468278,0.00003,0.000002,0,0.000001
02:00.0,480.132733,8.468242,0.000031,0.000002,0,0.000001
03:00.0,480.1487,8.4684,0.000032,0.000002,0,0.000001
04:00.0,480.158551,8.468747,0.000033,0.000002,0,0.000001
05:00.0,480.162109,8.469279,0.000033,0.000002,0,0.000001
06:00.0,480.15958,8.469984,0.000034,0.000002,0,0.000001
07:00.0,480.151854,8.470836,0.000035,0.000002,0,0.000001
08:00.0,480.141007,8.471812,0.000036,0.000002,0,0.000001
09:00.0,480.131205,8.472892,0.000037,0.000002,0,0.000001
10:00.0,480.130506,8.474062,0.000038,0.000002,0,0.000001
11:00.0,480.154597,8.475309,0.000039,0.000002,0,0.000001
12:00.0,480.234681,8.476627,0.00004,0.000002,0,0.000001
13:00.0,480.431965,8.478012,0.000041,0.000002,0,0.000001
14:00.0,480.846824,8.479458,0.000042,0.000002,0,0.000001
15:00.0,481.564376,8.48095,0.000043,0.000002,0,0.000001
16:00.0,482.549815,8.482461,0.000044,0.000002,0,0.000001
17:00.0,483.684088,8.483965,0.000044,0.000002,0,0.000001
18:00.0,484.865041,8.485443,0.000045,0.000002,0,0.000001
19:00.0,486.027781,8.486881,0.000045,0.000002,0,0.000001
20:00.0,487.130387,8.488261,0.000045,0.000002,0,0.000001
21:00.0,488.14303,8.489565,0.000045,0.000002,0,0.000001
22:00.0,489.043505,8.490775,0.000045,0.000002,0,0.000001
23:00.0,489.815587,8.491882,0.000044,0.000002,0,0.000001
24:00.0,490.447827,8.49288,0.000043,0.000002,0,0.000001
25:00.0,490.932376,8.493768,0.000042,0.000002,0,0.000001
26:00.0,491.264135,8.494543,0.000041,0.000002,0,0.000001
27:00.0,491.440199,8.495206,0.00004,0.000002,0,0.000001
28:00.0,491.459529,8.495749,0.000039,0.000002,0,0.000001
29:00.0,491.323242,8.496168,0.000038,0.000002,0,0.000001
30:00.0,491.035628,8.496459,0.000037,0.000002,0,0.000001
31:00.0,490.605001,8.496628,0.000035,0.000002,0,0.000001
32:00.0,490.043247,8.49669,0.000034,0.000002,0,0.000001
33:00.0,489.364248,8.496663,0.000033,0.000002,0,0.000001
34:00.0,488.582598,8.496556,0.000031,0.000002,0,0.000001
35:00.0,487.713541,8.49638,0.00003,0.000002,0,0.000001
36:00.0,486.773443,8.496147,0.000028,0.000002,0,0.000001
37:00.0,485.779627,8.495869,0.000026,0.000002,0,0.000001
38:00.0,484.749862,8.495561,0.000024,0.000002,0,0.000001
39:00.0,483.702501,8.495234,0.000023,0.000002,0,0.000001
40:00.0,482.656359,8.494905,0.000021,0.000002,0,0.000001
41:00.0,481.630914,8.49459,0.000019,0.000002,0,0.000001
42:00.0,480.645597,8.494305,0.000018,0.000002,0,0.000001
43:00.0,479.719536,8.494054,0.000017,0.000002,0,0.000001
44:00.0,478.872919,8.493841,0.000016,0.000002,0,0.000001
45:00.0,478.129304,8.493674,0.000015,0.000002,0,0.000001
46:00.0,477.51677,8.493569,0.000015,0.000002,0,0.000001
47:00.0,477.066507,8.493535,0.000015,0.000002,0,0.000001
48:00.0,476.808937,8.493572,0.000015,0.000002,0,0.000001
49:00.0,476.767568,8.493677,0.000015,0.000002,0,0.000001
50:00.0,476.951492,8.493854,0.000015,0.000002,0.000001,0.000001
51:00.0,477.350519,8.494108,0.000015,0.000002,0.000001,0.000001
52:00.0,477.937549,8.494435,0.000015,0.000002,0.000001,0.000001
53:00.0,478.677224,8.494814,0.000015,0.000002,0.000001,0.000001
54:00.0,479.535144,8.49522,0.000015,0.000002,0.000001,0.000001
55:00.0,480.482775,8.495643,0.000015,0.000002,0.000001,0.000001
56:00.0,481.497012,8.496082,0.000015,0.000002,0.000001,0.000001
57:00.0,482.557142,8.496533,0.000014,0.000002,0.000001,0.000001
58:00.0,483.642915,8.496986,0.000014,0.000002,0,0.000001
59:00.0,484.734845,8.497425,0.000014,0.000002,0,0.000001
00:00.0,485.814709,8.497844,0.000014,0.000002,0,0.000001
01:00.0,486.86439,8.498238,0.000015,0.000002,0,0.000001
02:00.0,487.864164,8.498595,0.000015,0.000002,0,0.000001
03:00.0,488.793009,8.498887,0.000015,0.000002,0,0.000001
04:00.0,489.631368,8.499087,0.000015,0.000002,0,0.000001
05:00.0,490.363683,8.499183,0.000016,0.000002,0,0.000001
06:00.0,490.978076,8.499177,0.000016,0.000002,0,0.000001
07:00.0,491.463794,8.499075,0.000016,0.000002,0,0.000001
08:00.0,491.809442,8.498868,0.000016,0.000002,0,0.000001
09:00.0,492.003879,8.498538,0.000016,0.000002,0,0.000001
10:00.0,492.03861,8.498071,0.000015,0.000002,0,0.000001
11:00.0,491.909271,8.497461,0.000015,0.000002,0,0.000001
12:00.0,491.615363,8.496713,0.000014,0.000002,0,0.000001
13:00.0,491.159118,8.49583,0.000014,0.000002,0,0.000001
14:00.0,490.54608,8.494817,0.000014,0.000002,0,0.000001
15:00.0,489.784764,8.493679,0.000013,0.000002,0,0.000001
16:00.0,488.887635,8.492424,0.000013,0.000002,0,0.000001
17:00.0,487.871668,8.491067,0.000013,0.000002,0,0.000001
18:00.0,486.758712,8.489629,0.000013,0.000002,0,0.000001
19:00.0,485.575849,8.488133,0.000014,0.000002,0,0.000001
20:00.0,484.356911,8.486597,0.000014,0.000002,0,0.000001
21:00.0,483.147856,8.485025,0.000015,0.000002,0,0.000001
22:00.0,482.017604,8.48342,0.000016,0.000002,0,0.000001
23:00.0,481.064169,8.481797,0.000017,0.000002,0,0.000001
24:00.0,480.3796,8.480191,0.000018,0.000002,0,0.000001
25:00.0,479.972452,8.478651,0.000019,0.000002,0,0.000001
26:00.0,479.766423,8.477207,0.00002,0.000002,0,0.000001
27:00.0,479.678037,8.475858,0.000021,0.000002,0,0.000001
28:00.0,479.653308,8.474581,0.000022,0.000002,0,0.000001
29:00.0,479.662561,8.473367,0.000023,0.000002,0,0.000001
30:00.0,479.689624,8.472233,0.000025,0.000002,0,0.000001
31:00.0,479.725211,8.471224,0.000026,0.000002,0,0.000001
32:00.0,479.763701,8.470382,0.000027,0.000002,0,0.000001
33:00.0,479.801586,8.469732,0.000028,0.000002,0,0.000001
34:00.0,479.836657,8.469278,0.000029,0.000002,0,0.000001
35:00.0,479.867517,8.469007,0.00003,0.000002,0,0.000001
36:00.0,479.893268,8.468905,0.000031,0.000002,0,0.000001
37:00.0,479.913327,8.468966,0.000032,0.000002,0,0.000001
38:00.0,479.927297,8.469193,0.000033,0.000002,0.000001,0.000001
39:00.0,479.934943,8.469603,0.000034,0.000002,0.000001,0.000001
40:00.0,479.936269,8.470205,0.000034,0.000002,0.000001,0.000001
41:00.0,479.93177,8.47099,0.000035,0.000002,0.000001,0.000001
42:00.0,479.922878,8.471936,0.000036,0.000002,0.000001,0.000001
43:00.0,479.912771,8.47302,0.000037,0.000002,0.000001,0.000001
44:00.0,479.908013,8.474228,0.000038,0.000002,0,0.000001
45:00.0,479.922087,8.475547,0.000039,0.000002,0,0.000001
46:00.0,479.983032,8.476952,0.00004,0.000002,0,0.000001
47:00.0,480.148448,8.478409,0.000041,0.000002,0,0.000001
48:00.0,480.520918,8.479891,0.000042,0.000002,0,0.000001
49:00.0,481.204664,8.481391,0.000043,0.000002,0,0.000001
50:00.0,482.181538,8.482907,0.000044,0.000002,0,0.000001
51:00.0,483.325442,8.484423,0.000045,0.000002,0,0.000001
52:00.0,484.521632,8.485908,0.000045,0.000002,0,0.000001
53:00.0,485.697772,8.487333,0.000046,0.000002,0,0.000001
54:00.0,486.810925,8.488688,0.000046,0.000002,0,0.000001
55:00.0,487.834691,8.489977,0.000046,0.000002,0,0.000001
56:00.0,488.750033,8.4912,0.000045,0.000002,0,0.000001
57:00.0,489.540296,8.492337,0.000045,0.000002,0,0.000001
58:00.0,490.190972,8.493364,0.000044,0.000002,0,0.000001
59:00.0,490.691783,8.494267,0.000043,0.000002,0,0.000001
00:00.0,491.037628,8.495047,0.000042,0.000002,0,0.000001
01:00.0,491.227495,8.495712,0.000041,0.000002,0,0.000001
02:00.0,491.262966,8.496264,0.00004,0.000002,0,0.000001
03:00.0,491.147633,8.496707,0.000038,0.000002,0,0.000001
04:00.0,490.886867,8.497044,0.000037,0.000002,0,0.000001
05:00.0,490.487114,8.497276,0.000036,0.000002,0,0.000001
06:00.0,489.955383,8.497397,0.000035,0.000002,0,0.000001
07:00.0,489.300141,8.497402,0.000033,0.000002,0,0.000001
08:00.0,488.533234,8.497296,0.000032,0.000002,0,0.000001
09:00.0,487.670873,8.497104,0.00003,0.000002,0,0.000001
10:00.0,486.732415,8.496853,0.000028,0.000002,0,0.000001
11:00.0,485.737974,8.49657,0.000026,0.000002,0,0.000001
12:00.0,484.70667,8.496269,0.000025,0.000002,0,0.000001
13:00.0,483.657326,8.495958,0.000023,0.000002,0,0.000001
14:00.0,482.608239,8.495649,0.000021,0.000002,0,0.000001
15:00.0,481.577693,8.495351,0.00002,0.000002,0,0.000001
16:00.0,480.58417,8.495074,0.000019,0.000002,0,0.000001
17:00.0,479.647225,8.494827,0.000017,0.000002,0,0.000001
18:00.0,478.78871,8.494625,0.000017,0.000002,0,0.000001
19:00.0,478.03334,8.494485,0.000016,0.000002,0,0.000001
20:00.0,477.408188,8.494415,0.000016,0.000002,0,0.000001
21:00.0,476.941677,8.494413,0.000015,0.000002,0,0.000001
22:00.0,476.661956,8.494473,0.000015,0.000002,0,0.000001
23:00.0,476.592856,8.494592,0.000015,0.000002,0,0.000001
24:00.0,476.746594,8.494775,0.000015,0.000002,0,0.000001
25:00.0,477.117533,8.495029,0.000015,0.000002,0,0.000001
26:00.0,477.683214,8.495351,0.000015,0.000002,0,0.000001
27:00.0,478.412205,8.495729,0.000015,0.000002,0.000001,0.000001
28:00.0,479.272325,8.49615,0.000015,0.000002,0.000001,0.000001
29:00.0,480.234694,8.496609,0.000015,0.000002,0.000001,0.000001
30:00.0,481.273707,8.497101,0.000015,0.000002,0.000001,0.000001
31:00.0,482.365316,8.497621,0.000015,0.000002,0.000001,0.000001
32:00.0,483.485728,8.498153,0.000014,0.000002,0.000001,0.000001
33:00.0,484.611051,8.498675,0.000014,0.000002,0.000001,0.000001
34:00.0,485.71746,8.499164,0.000014,0.000002,0.000001,0.000001
35:00.0,486.781669,8.499592,0.000015,0.000002,0,0.000001
36:00.0,487.782103,8.499935,0.000015,0.000002,0,0.000001
37:00.0,488.700603,8.500178,0.000015,0.000002,0,0.000001
38:00.0,489.523395,8.500319,0.000015,0.000002,0,0.000001
39:00.0,490.23999,8.500366,0.000016,0.000002,0,0.000001
40:00.0,490.840557,8.500326,0.000016,0.000002,0,0.000001
41:00.0,491.314121,8.500192,0.000016,0.000002,0,0.000001
42:00.0,491.649349,8.499948,0.000016,0.000002,0,0.000001
43:00.0,491.83693,8.499583,0.000016,0.000002,0,0.000001
44:00.0,491.870923,8.499093,0.000015,0.000002,0,0.000001
45:00.0,491.747953,8.498479,0.000015,0.000002,0,0.000001
46:00.0,491.466014,8.497737,0.000015,0.000002,0,0.000001
47:00.0,491.024808,8.496856,0.000014,0.000002,0,0.000001
48:00.0,490.428681,8.495836,0.000014,0.000002,0,0.000001
49:00.0,489.68683,8.494692,0.000013,0.000002,0,0.000001
50:00.0,488.812155,8.493444,0.000013,0.000002,0,0.000001
51:00.0,487.819508,8.492106,0.000013,0.000002,0,0.000001
52:00.0,486.726488,8.490678,0.000014,0.000002,0,0.000001
53:00.0,485.557025,8.489166,0.000014,0.000002,0,0.000001
54:00.0,484.345465,8.48759,0.000015,0.000002,0,0.000001
55:00.0,483.14007,8.485977,0.000015,0.000002,0,0.000001
56:00.0,482.007647,8.484352,0.000016,0.000002,0,0.000001
57:00.0,481.035871,8.482729,0.000017,0.000002,0,0.000001
58:00.0,480.309939,8.481119,0.000018,0.000002,0,0.000001
59:00.0,479.85288,8.479544,0.000019,0.000002,0,0.000001
00:00.0,479.608057,8.478031,0.00002,0.000002,0,0.000001
01:00.0,479.496843,8.476604,0.000021,0.000002,0,0.000001
02:00.0,479.461275,8.475278,0.000022,0.000002,0,0.000001
03:00.0,479.46692,8.474066,0.000023,0.000002,0,0.000001
04:00.0,479.494363,8.472978,0.000025,0.000002,0,0.000001
05:00.0,479.532512,8.472026,0.000026,0.000002,0,0.000001
06:00.0,479.574857,8.471214,0.000027,0.000002,0,0.000001
07:00.0,479.617492,8.470543,0.000028,0.000002,0,0.000001
08:00.0,479.658007,8.470018,0.000029,0.000002,0,0.000001
09:00.0,479.694823,8.469653,0.00003,0.000002,0,0.000001
