Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6778.137,400,5553.624,0,0,0
01:00.0,6778.09114,400.607766,5553.568,60,0.000694444,1.90129E-06
02:00.0,6777.961415,401.128177,5553.408,120,0.001388889,3.80257E-06
03:00.0,6777.749136,401.559014,5553.148,180,0.002083333,5.70386E-06
04:00.0,6777.456621,401.898603,5552.788,240,0.002777778,7.60514E-06
05:00.0,6777.088373,402.147036,5552.336,300,0.003472222,9.50643E-06
06:00.0,6776.650928,402.306385,5551.798,360,0.004166667,1.14077E-05
07:00.0,6776.151757,402.379713,5551.185,420,0.004861111,1.3309E-05
08:00.0,6775.598973,402.370459,5550.505,480,0.005555556,1.52103E-05
09:00.0,6775.002232,402.283066,5549.772,540,0.00625,1.71116E-05
10:00.0,6774.373256,402.123828,5548.999,600,0.006944444,1.90129E-05
11:00.0,6773.724732,401.900482,5548.202,660,0.007638889,2.09141E-05
12:00.0,6773.068564,401.620719,5547.396,720,0.008333333,2.28154E-05
13:00.0,6772.415478,401.291264,5546.594,780,0.009027778,2.47167E-05
14:00.0,6771.77632,400.918513,5545.809,840,0.009722222,2.6618E-05
15:00.0,6771.163202,400.509867,5545.056,900,0.010416667,2.85193E-05
16:00.0,6770.588897,400.074187,5544.35,960,0.011111111,3.04206E-05
17:00.0,6770.065002,399.620952,5543.707,1020,0.011805556,3.23218E-05
18:00.0,6769.600799,399.159198,5543.136,1080,0.0125,3.42231E-05
19:00.0,6769.203675,398.697402,5542.649,1140,0.013194444,3.61244E-05
20:00.0,6768.880106,398.24427,5542.251,1200,0.013888889,3.80257E-05
21:00.0,6768.635812,397.809516,5541.951,1260,0.014583333,3.9927E-05
22:00.0,6768.475022,397.404059,5541.754,1320,0.015277778,4.18283E-05
23:00.0,6768.399972,397.040107,5541.662,1380,0.015972222,4.37296E-05
24:00.0,6768.411443,396.732045,5541.676,1440,0.016666667,4.56308E-05
25:00.0,6768.509755,396.498372,5541.796,1500,0.017361111,4.75321E-05
