"Time (UTCG)","Semi-parameter (km)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","Arg of Perigee (deg)","RAAN (deg)","Height of Apogee (km)","Height of Perigee (km)","Sidereal Period (sec)","Orbit Count"
23 Jun 2025 09:48:17.674,6973.412155,6973.417860,0.00090451,44.980564,180.000000,0.000000,601.588352,588.973368,5795.347941,0
24 Jun 2025 01:51:48.857,6973.050857,6973.055930,0.00085290,44.980492,188.366677,356.533620,600.866239,588.971621,5794.896767,10
24 Jun 2025 17:55:17.689,6972.668804,6972.673302,0.00080314,44.980450,197.499370,353.066867,600.136338,588.936267,5794.419804,20
25 Jun 2025 09:58:41.782,6972.293744,6972.297725,0.00075562,44.980437,207.382774,349.599746,599.429127,588.892323,5793.951643,30
26 Jun 2025 02:02:01.221,6971.925268,6971.928818,0.00071349,44.980446,218.020638,346.132290,598.766226,588.817409,5793.491808,40
26 Jun 2025 18:05:15.918,6971.536346,6971.539557,0.00067863,44.980459,229.178162,342.664518,598.133638,588.671475,5793.006616,50
27 Jun 2025 10:08:25.817,6971.158757,6971.161724,0.00065241,44.980459,240.557222,339.196410,597.572769,588.476680,5792.535683,60
28 Jun 2025 02:11:31.099,6970.798969,6970.801804,0.00063772,44.980432,251.818158,335.727968,597.110210,588.219397,5792.087086,70
28 Jun 2025 18:14:31.800,6970.426455,6970.429263,0.00063475,44.980366,262.516389,332.259191,596.716720,587.867807,5791.622773,80
29 Jun 2025 10:17:27.862,6970.057395,6970.060265,0.00064166,44.980257,272.383341,328.790038,596.395641,587.450890,5791.162886,90
30 Jun 2025 02:20:19.383,6969.700412,6969.703437,0.00065881,44.980113,281.164891,325.320490,596.158128,586.974745,5790.718179,100
30 Jun 2025 18:23:06.349,6969.328429,6969.331693,0.00068429,44.979941,288.769812,321.850538,595.963706,586.425679,5790.254894,110
1 Jul 2025 10:25:48.660,6968.955173,6968.958744,0.00071587,44.979758,295.329047,318.380153,595.810611,585.832878,5789.790122,120
2 Jul 2025 02:28:26.418,6968.599564,6968.603519,0.00075337,44.979580,300.953828,314.909329,595.716491,585.216547,5789.347447,130
2 Jul 2025 18:30:59.676,6968.234074,6968.238481,0.00079525,44.979422,305.776382,311.438090,595.642999,584.559963,5788.892556,140
3 Jul 2025 10:33:28.350,6967.865313,6967.870232,0.00084026,44.979294,310.050675,307.966433,595.588036,583.878428,5788.433676,150
4 Jul 2025 02:35:52.543,6967.515674,6967.521172,0.00088829,44.979205,313.843648,304.494373,595.573326,583.195018,5787.998718,160
4 Jul 2025 18:38:12.334,6967.159693,6967.165831,0.00093859,44.979156,317.214336,301.021951,595.568153,582.489509,5787.555945,170
5 Jul 2025 10:40:27.642,6966.796578,6966.803410,0.00099032,44.979143,320.351533,297.549177,595.565783,581.767037,5787.104362,180
6 Jul 2025 02:42:38.538,6966.452207,6966.459796,0.00104372,44.979159,323.256293,294.076063,595.593842,581.051751,5786.676223,190
6 Jul 2025 18:44:45.130,6966.106020,6966.114423,0.00109833,44.979190,325.931129,290.602645,595.628534,580.326312,5786.245903,200
7 Jul 2025 10:46:47.342,6965.749505,6965.758773,0.00115344,44.979223,328.510011,287.128924,595.656331,579.587214,5785.802789,210
8 Jul 2025 02:48:45.215,6965.409675,6965.419864,0.00120945,44.979243,330.983298,283.654892,595.707216,578.858511,5785.380545,220
8 Jul 2025 18:50:38.873,6965.072717,6965.083880,0.00126596,44.979239,333.322151,280.180560,595.764424,578.129335,5784.961954,230
9 Jul 2025 10:52:28.252,6964.722888,6964.735067,0.00132233,44.979201,335.624531,276.705912,595.807732,577.388401,5784.527391,240
10 Jul 2025 02:54:13.362,6964.387326,6964.400573,0.00137916,44.979129,337.882961,273.230918,595.868599,576.658547,5784.110678,250
10 Jul 2025 18:55:54.340,6964.059148,6964.073507,0.00143593,44.979027,340.055879,269.755569,595.936400,575.936614,5783.703228,260
11 Jul 2025 10:57:31.140,6963.716347,6963.731849,0.00149205,44.978908,342.218098,266.279848,595.985085,575.204614,5783.277610,270
12 Jul 2025 02:59:03.739,6963.384434,6963.401128,0.00154833,44.978791,344.369504,262.803722,596.045803,574.482452,5782.865626,280
12 Jul 2025 19:00:32.276,6963.063498,6963.081415,0.00160411,44.978700,346.462598,259.327196,596.113943,573.774887,5782.467365,290
13 Jul 2025 11:01:56.718,6962.726619,6962.745778,0.00165884,44.978655,348.556695,255.850281,596.158845,573.058711,5782.049277,300
14 Jul 2025 03:03:17.009,6962.396178,6962.416620,0.00171350,44.978676,350.660175,252.372976,596.209719,572.349521,5781.639269,310
14 Jul 2025 19:04:33.272,6962.079008,6962.100754,0.00176731,44.978771,352.722170,248.895316,596.267964,571.659543,5781.245828,320
15 Jul 2025 11:05:45.483,6961.744729,6961.767783,0.00181976,44.978934,354.791054,245.417350,596.299514,570.962052,5780.831090,330
16 Jul 2025 03:06:53.544,6961.411408,6961.435802,0.00187193,44.979147,356.883355,241.939095,596.330154,570.267451,5780.417596,340
16 Jul 2025 19:07:57.548,6961.092254,6961.117996,0.00192301,44.979378,358.945852,238.460586,596.367324,569.594668,5780.021765,350
17 Jul 2025 11:08:57.471,6960.754777,6960.781859,0.00197245,44.979587,1.018896,234.981857,596.374671,568.915046,5779.603113,360
18 Jul 2025 03:09:53.165,6960.411889,6960.440331,0.00202143,44.979737,3.126056,231.502886,596.373397,568.233264,5779.177758,370
18 Jul 2025 19:10:44.683,6960.082665,6960.112463,0.00206913,44.979799,5.212474,228.023652,596.376858,567.574068,5778.769425,380
19 Jul 2025 11:11:31.987,6959.733830,6959.764961,0.00211496,44.979759,7.312939,224.544132,596.347557,566.908365,5778.336650,390
20 Jul 2025 03:12:14.879,6959.372862,6959.405336,0.00216015,44.979623,9.456550,221.064261,596.301713,566.234960,5777.888789,400
20 Jul 2025 19:12:53.362,6959.024122,6959.057924,0.00220393,44.979418,11.587595,217.583985,596.258170,565.583678,5777.456147,410
21 Jul 2025 11:13:27.381,6958.654717,6958.689807,0.00224557,44.979182,13.737568,214.103287,596.179052,564.926562,5776.997733,420
22 Jul 2025 03:13:56.695,6958.267066,6958.303442,0.00228639,44.978958,15.938903,210.622135,596.075867,564.257016,5776.516608,430
22 Jul 2025 19:14:21.257,6957.889989,6957.927619,0.00232555,44.978784,18.134939,207.140529,595.971635,563.609602,5776.048624,440
23 Jul 2025 11:14:41.002,6957.491876,6957.530696,0.00236212,44.978675,20.353683,203.658510,595.828218,562.959175,5775.554380,450
24 Jul 2025 03:14:55.658,6957.071026,6957.111018,0.00239758,44.978634,22.626212,200.176085,595.654230,562.293805,5775.031815,460
24 Jul 2025 19:15:05.143,6956.659608,6956.700727,0.00243117,44.978650,24.894112,196.693253,595.476678,561.650775,5774.520954,470
25 Jul 2025 11:15:09.390,6956.227979,6956.270139,0.00246186,44.978698,27.183074,193.210044,595.258530,561.007748,5773.984839,480
26 Jul 2025 03:15:08.118,6955.771406,6955.814584,0.00249148,44.978753,29.523161,189.726440,595.007870,560.347298,5773.417654,490
26 Jul 2025 19:15:01.229,6955.323891,6955.368036,0.00251931,44.978789,31.857970,186.242417,594.753794,559.708278,5772.861702,500
27 Jul 2025 11:14:48.666,6954.858406,6954.903421,0.00254408,44.978780,34.212604,182.757978,594.460284,559.072558,5772.283275,510
28 Jul 2025 03:14:30.164,6954.367934,6954.413795,0.00256798,44.978711,36.616091,179.273088,594.135574,558.418016,5771.673732,520
28 Jul 2025 19:14:05.622,6953.886525,6953.933181,0.00259022,44.978576,39.015370,175.787703,593.808428,557.783934,5771.075428,530
29 Jul 2025 11:13:35.008,6953.390826,6953.438168,0.00260930,44.978375,41.433927,172.301815,593.444784,557.157552,5770.459222,540
30 Jul 2025 03:12:58.088,6952.871689,6952.919697,0.00262769,44.978119,43.899918,168.815392,593.052788,556.512605,5769.813838,550
30 Jul 2025 19:12:14.770,6952.361462,6952.410084,0.00264452,44.977826,46.364251,165.328394,592.658842,555.887326,5769.179503,560
31 Jul 2025 11:11:25.053,6951.841997,6951.891115,0.00265809,44.977515,48.846968,161.840829,592.232854,555.275376,5768.533547,570
1 Aug 2025 03:10:28.749,6951.301572,6951.351166,0.00267105,44.977212,51.376530,158.352684,591.781584,554.646749,5767.861503,580
1 Aug 2025 19:09:25.778,6950.769285,6950.819300,0.00268246,44.976939,53.908560,154.863945,591.327594,554.037007,5767.199544,590
2 Aug 2025 11:08:16.171,6950.233847,6950.284161,0.00269056,44.976714,56.457658,151.374635,590.847317,553.447005,5766.533537,600
3 Aug 2025 03:06:59.797,6949.680268,6949.730856,0.00269800,44.976551,59.054046,147.884767,590.344205,552.843508,5765.844950,610
3 Aug 2025 19:05:36.581,6949.132914,6949.183715,0.00270377,44.976458,61.659176,144.394341,589.835709,552.257721,5765.164059,620
4 Aug 2025 11:04:06.580,6948.588602,6948.639491,0.00270622,44.976431,64.280748,140.903384,589.307036,551.697947,5764.486826,630
5 Aug 2025 03:02:29.719,6948.028800,6948.079744,0.00270780,44.976460,66.951331,137.411916,588.756767,551.128722,5763.790304,640
5 Aug 2025 19:00:45.917,6947.471680,6947.522609,0.00270750,44.976531,69.639110,133.919929,588.195999,550.575219,5763.097059,650
6 Aug 2025 10:58:55.241,6946.922664,6946.973452,0.00270385,44.976622,72.345094,130.427431,587.620006,550.052898,5762.413769,660
7 Aug 2025 02:56:57.658,6946.360262,6946.410864,0.00269898,44.976707,75.103254,126.934425,587.022079,549.525648,5761.713794,670
7 Aug 2025 18:54:53.069,6945.795316,6945.845648,0.00269189,44.976764,77.888453,123.440881,586.406121,549.011174,5761.010580,680
8 Aug 2025 10:52:41.527,6945.241676,6945.291611,0.00268140,44.976776,80.697097,119.946776,585.777691,548.531532,5760.321302,690
9 Aug 2025 02:50:23.028,6944.676059,6944.725538,0.00266920,44.976730,83.562593,116.452098,585.125397,548.051678,5759.617076,700
9 Aug 2025 18:47:57.440,6944.101382,6944.150309,0.00265438,44.976628,86.465424,112.956805,584.445745,547.580872,5758.901491,710
10 Aug 2025 10:45:24.784,6943.539377,6943.587625,0.00263602,44.976480,89.400077,109.460871,583.754045,547.147205,5758.201540,720
11 Aug 2025 02:42:45.069,6942.966243,6943.013735,0.00261539,44.976308,92.397910,105.964298,583.035433,546.718038,5757.487680,730
11 Aug 2025 18:39:58.123,6942.376738,6942.423369,0.00259170,44.976140,95.443504,102.467076,582.279068,546.293671,5756.753355,740
12 Aug 2025 10:37:03.921,6941.799710,6941.845356,0.00256425,44.976006,98.531394,98.969209,581.509005,545.907707,5756.034424,750
13 Aug 2025 02:34:02.473,6941.212196,6941.256766,0.00253397,44.975930,101.691582,95.470741,580.708721,545.530811,5755.302370,760
13 Aug 2025 18:30:53.564,6940.600622,6940.644007,0.00250018,44.975925,104.910959,91.971697,579.859889,545.154125,5754.540289,770
14 Aug 2025 10:27:37.111,6939.999909,6940.041988,0.00246236,44.975993,108.185379,88.472093,578.993851,544.816125,5753.791597,780
15 Aug 2025 02:24:13.119,6939.389627,6939.430307,0.00242120,44.976114,111.547205,84.971969,578.095044,544.491570,5753.030923,790
15 Aug 2025 18:20:41.333,6938.747719,6938.786896,0.00237614,44.976262,114.983777,81.471328,577.137403,544.162388,5752.230826,800
16 Aug 2025 10:17:01.602,6938.113716,6938.151277,0.00232674,44.976403,118.493193,77.970131,576.157558,543.870996,5751.440455,810
17 Aug 2025 02:13:13.924,6937.471772,6937.507635,0.00227364,44.976507,122.116875,74.468365,575.144050,543.597219,5750.640144,820
17 Aug 2025 18:09:18.011,6936.791640,6936.825717,0.00221641,44.976550,125.841745,70.965982,574.063562,543.313872,5749.792282,830
18 Aug 2025 10:05:13.647,6936.115483,6936.147684,0.00215462,44.976524,129.668091,67.462906,572.955436,543.065932,5748.949291,840
19 Aug 2025 02:01:00.820,6935.433683,6935.463947,0.00208895,44.976434,133.655272,63.959107,571.814813,542.839082,5748.099251,850
19 Aug 2025 17:56:39.229,6934.709246,6934.737521,0.00201925,44.976294,137.791971,60.454551,570.603466,542.597577,5747.196184,860
20 Aug 2025 09:52:08.607,6933.984944,6934.011177,0.00194504,44.976127,142.079561,56.949187,569.361094,542.387260,5746.293265,870
21 Aug 2025 01:47:28.931,6933.257226,6933.281397,0.00186714,44.975955,146.604684,53.443020,568.089826,542.198968,5745.386125,880
21 Aug 2025 17:42:39.904,6932.485251,6932.507361,0.00178586,44.975797,151.364738,49.936059,566.750855,541.989866,5744.424022,890
