Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6878.14,500.003,5676.982,0,0,0
01:00.0,6878.0956,500.58923,5676.927,60,0.000694444,1.90129E-06
02:00.0,6877.971757,501.09293,5676.773,120,0.001388889,3.80257E-06
03:00.0,6877.769793,501.512116,5676.523,180,0.002083333,5.70386E-06
04:00.0,6877.491948,501.845383,5676.179,240,0.002777778,7.60514E-06
05:00.0,6877.142232,502.092751,5675.747,300,0.003472222,9.50643E-06
06:00.0,6876.726427,502.255905,5675.232,360,0.004166667,1.14077E-05
07:00.0,6876.25134,502.337559,5674.644,420,0.004861111,1.3309E-05
08:00.0,6875.724458,502.340922,5673.991,480,0.005555556,1.52103E-05
09:00.0,6875.154459,502.269993,5673.286,540,0.00625,1.71116E-05
10:00.0,6874.551673,502.130173,5672.54,600,0.006944444,1.90129E-05
11:00.0,6873.927499,501.928161,5671.767,660,0.007638889,2.09141E-05
12:00.0,6873.293123,501.670984,5670.982,720,0.008333333,2.28154E-05
13:00.0,6872.658891,501.365141,5670.197,780,0.009027778,2.47167E-05
14:00.0,6872.034923,501.016742,5669.425,840,0.009722222,2.6618E-05
15:00.0,6871.43206,500.632401,5668.679,900,0.010416667,2.85193E-05
16:00.0,6870.861806,500.21981,5667.973,960,0.011111111,3.04206E-05
17:00.0,6870.335159,499.787408,5667.322,1020,0.011805556,3.23218E-05
18:00.0,6869.861468,499.343587,5666.736,1080,0.0125,3.42231E-05
19:00.0,6869.448299,498.896322,5666.224,1140,0.013194444,3.61244E-05
20:00.0,6869.102071,498.453552,5665.796,1200,0.013888889,3.80257E-05
21:00.0,6868.828456,498.02384,5665.458,1260,0.014583333,3.9927E-05
22:00.0,6868.632052,497.616752,5665.215,1320,0.015277778,4.18283E-05
23:00.0,6868.51583,497.242953,5665.071,1380,0.015972222,4.37296E-05
24:00.0,6868.48115,496.914597,5665.028,1440,0.016666667,4.56308E-05
25:00.0,6868.528426,496.646515,5665.086,1500,0.017361111,4.75321E-05
26:00.0,6868.657692,496.457936,5665.246,1560,0.018055556,4.94334E-05
27:00.0,6868.868343,496.373753,5665.507,1620,0.01875,5.13347E-05
28:00.0,6869.158171,496.423931,5665.865,1680,0.019444444,5.3236E-05
29:00.0,6869.522572,496.63994,5666.316,1740,0.020138889,5.51373E-05
30:00.0,6869.954671,497.048071,5666.851,1800,0.020833333,5.70386E-05
31:00.0,6870.446129,497.661453,5667.459,1860,0.021527778,5.89398E-05
32:00.0,6870.98772,498.474508,5668.129,1920,0.022222222,6.08411E-05
33:00.0,6871.569219,499.462869,5668.849,1980,0.022916667,6.27424E-05
34:00.0,6872.179192,500.588658,5669.604,2040,0.023611111,6.46437E-05
35:00.0,6872.805592,501.808598,5670.379,2100,0.024305556,6.6545E-05
36:00.0,6873.437091,503.08172,5671.16,2160,0.025,6.84463E-05
37:00.0,6874.06391,504.373512,5671.936,2220,0.025694444,7.03476E-05
38:00.0,6874.677217,505.655159,5672.695,2280,0.026388889,7.22488E-05
39:00.0,6875.267704,506.900044,5673.426,2340,0.027083333,7.41501E-05
40:00.0,6875.824951,508.081558,5674.116,2400,0.027777778,7.60514E-05
41:00.0,6876.338242,509.174052,5674.751,2460,0.028472222,7.79527E-05
42:00.0,6876.79771,510.154776,5675.32,2520,0.029166667,7.9854E-05
43:00.0,6877.194373,511.0037,5675.811,2580,0.029861111,8.17553E-05
44:00.0,6877.51918,511.70135,5676.213,2640,0.030555556,8.36566E-05
45:00.0,6877.762762,512.228058,5676.515,2700,0.03125,8.55578E-05
46:00.0,6877.917046,512.566999,5676.706,2760,0.031944444,8.74591E-05
47:00.0,6877.977733,512.709076,5676.781,2820,0.032638889,8.93604E-05
48:00.0,6877.945435,512.655165,5676.741,2880,0.033333333,9.12617E-05
49:00.0,6877.824361,512.413501,5676.591,2940,0.034027778,9.3163E-05
50:00.0,6877.619719,511.99448,5676.338,3000,0.034722222,9.50643E-05
51:00.0,6877.336015,511.407275,5675.986,3060,0.035416667,9.69655E-05
52:00.0,6876.977354,510.660513,5675.542,3120,0.036111111,9.88668E-05
53:00.0,6876.548986,509.765487,5675.012,3180,0.036805556,0.000100768
54:00.0,6876.058427,508.738527,5674.405,3240,0.0375,0.000102669
55:00.0,6875.514748,507.599739,5673.732,3300,0.038194444,0.000104571
56:00.0,6874.928597,506.373319,5673.006,3360,0.038888889,0.000106472
57:00.0,6874.309904,505.083347,5672.241,3420,0.039583333,0.000108373
58:00.0,6873.668568,503.755776,5671.447,3480,0.040277778,0.000110275
59:00.0,6873.015544,502.421307,5670.639,3540,0.040972222,0.000112176
00:00.0,6872.363367,501.116956,5669.831,3600,0.041666667,0.000114077
01:00.0,6871.725148,499.88409,5669.042,3660,0.042361111,0.000115978
02:00.0,6871.112646,498.763866,5668.284,3720,0.043055556,0.00011788
03:00.0,6870.535126,497.793082,5667.569,3780,0.04375,0.000119781
04:00.0,6870.000099,497.00163,5666.907,3840,0.044444444,0.000121682
05:00.0,6869.515194,496.409465,5666.307,3900,0.045138889,0.000123584
06:00.0,6869.089289,496.021894,5665.78,3960,0.045833333,0.000125485
07:00.0,6868.731843,495.826892,5665.338,4020,0.046527778,0.000127386
08:00.0,6868.451056,495.798613,5664.991,4080,0.047222222,0.000129287
09:00.0,6868.252436,495.90541,5664.745,4140,0.047916667,0.000131189
10:00.0,6868.138682,496.11714,5664.604,4200,0.048611111,0.00013309
11:00.0,6868.110573,496.408839,5664.569,4260,0.049305556,0.000134991
12:00.0,6868.167884,496.761115,5664.64,4320,0.05,0.000136893
13:00.0,6868.309651,497.158808,5664.816,4380,0.050694444,0.000138794
14:00.0,6868.533742,497.589319,5665.093,4440,0.051388889,0.000140695
15:00.0,6868.836255,498.041403,5665.467,4500,0.052083333,0.000142596
16:00.0,6869.211339,498.50471,5665.931,4560,0.052777778,0.000144498
