Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6678.14,300.003,5431.181,0,0,0
01:00.0,6678.085012,300.626347,5431.114,60,0.000694444,1.90129E-06
02:00.0,6677.941459,301.158197,5430.939,120,0.001388889,3.80257E-06
03:00.0,6677.710571,301.596009,5430.657,180,0.002083333,5.70386E-06
04:00.0,6677.3947,301.937721,5430.272,240,0.002777778,7.60514E-06
05:00.0,6676.998947,302.183493,5429.789,300,0.003472222,9.50643E-06
06:00.0,6676.530713,302.335804,5429.218,360,0.004166667,1.14077E-05
07:00.0,6675.99812,302.397974,5428.568,420,0.004861111,1.3309E-05
08:00.0,6675.409896,302.373522,5427.851,480,0.005555556,1.52103E-05
09:00.0,6674.776862,302.267337,5427.079,540,0.00625,1.71116E-05
10:00.0,6674.11239,302.08675,5426.268,600,0.006944444,1.90129E-05
11:00.0,6673.43047,301.840559,5425.437,660,0.007638889,2.09141E-05
12:00.0,6672.74347,301.536886,5424.599,720,0.008333333,2.28154E-05
13:00.0,6672.062369,301.182411,5423.768,780,0.009027778,2.47167E-05
14:00.0,6671.398986,300.783805,5422.959,840,0.009722222,2.6618E-05
15:00.0,6670.767096,300.349497,5422.189,900,0.010416667,2.85193E-05
16:00.0,6670.180806,299.889682,5421.474,960,0.011111111,3.04206E-05
17:00.0,6669.652019,299.414765,5420.829,1020,0.011805556,3.23218E-05
18:00.0,6669.189687,298.934195,5420.266,1080,0.0125,3.42231E-05
19:00.0,6668.801052,298.456866,5419.792,1140,0.013194444,3.61244E-05
20:00.0,6668.492781,297.992336,5419.416,1200,0.013888889,3.80257E-05
21:00.0,6668.270537,297.551488,5419.145,1260,0.014583333,3.9927E-05
22:00.0,6668.137875,297.146423,5418.984,1320,0.015277778,4.18283E-05
23:00.0,6668.096197,296.790763,5418.933,1380,0.015972222,4.37296E-05
24:00.0,6668.146017,296.501369,5418.994,1440,0.016666667,4.56308E-05
25:00.0,6668.28794,296.301019,5419.167,1500,0.017361111,4.75321E-05
26:00.0,6668.521964,296.22007,5419.452,1560,0.018055556,4.94334E-05
27:00.0,6668.845597,296.295003,5419.846,1620,0.01875,5.13347E-05
28:00.0,6669.252733,296.562783,5420.343,1680,0.019444444,5.3236E-05
29:00.0,6669.734365,297.051814,5420.93,1740,0.020138889,5.51373E-05
30:00.0,6670.28009,297.772541,5421.595,1800,0.020833333,5.70386E-05
31:00.0,6670.878561,298.711876,5422.325,1860,0.021527778,5.89398E-05
32:00.0,6671.516763,299.834361,5423.103,1920,0.022222222,6.08411E-05
33:00.0,6672.179988,301.090227,5423.912,1980,0.022916667,6.27424E-05
34:00.0,6672.853765,302.427531,5424.733,2040,0.023611111,6.46437E-05
35:00.0,6673.526137,303.802158,5425.553,2100,0.024305556,6.6545E-05
36:00.0,6674.187549,305.179702,5426.36,2160,0.025,6.84463E-05
37:00.0,6674.828261,306.529902,5427.141,2220,0.025694444,7.03476E-05
38:00.0,6675.436357,307.821297,5427.883,2280,0.026388889,7.22488E-05
39:00.0,6675.998742,309.022096,5428.569,2340,0.027083333,7.41501E-05
