Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6678.14,300.003,5431.181,0,0,0
01:00.0,6678.067517,300.61049,5431.092,60,0.000694444,1.90129E-06
02:00.0,6677.906481,301.128766,5430.896,120,0.001388889,3.80257E-06
03:00.0,6677.658127,301.555246,5430.593,180,0.002083333,5.70386E-06
04:00.0,6677.324809,301.887799,5430.186,240,0.002777778,7.60514E-06
05:00.0,6676.911622,302.126446,5429.682,300,0.003472222,9.50643E-06
06:00.0,6676.425948,302.273467,5429.09,360,0.004166667,1.14077E-05
07:00.0,6675.875867,302.331961,5428.419,420,0.004861111,1.3309E-05
08:00.0,6675.270035,302.305209,5427.68,480,0.005555556,1.52103E-05
09:00.0,6674.619175,302.197821,5426.886,540,0.00625,1.71116E-05
10:00.0,6673.936544,302.016802,5426.054,600,0.006944444,1.90129E-05
11:00.0,6673.236006,301.770629,5425.199,660,0.007638889,2.09141E-05
12:00.0,6672.529812,301.467157,5424.338,720,0.008333333,2.28154E-05
13:00.0,6671.828841,301.112856,5423.484,780,0.009027778,2.47167E-05
14:00.0,6671.144842,300.714196,5422.65,840,0.009722222,2.6618E-05
15:00.0,6670.491549,300.279387,5421.853,900,0.010416667,2.85193E-05
16:00.0,6669.883061,299.818385,5421.111,960,0.011111111,3.04206E-05
17:00.0,6669.331297,299.341372,5420.438,1020,0.011805556,3.23218E-05
18:00.0,6668.84524,298.857584,5419.846,1080,0.0125,3.42231E-05
19:00.0,6668.432173,298.375674,5419.342,1140,0.013194444,3.61244E-05
20:00.0,6668.098806,297.90487,5418.936,1200,0.013888889,3.80257E-05
21:00.0,6667.850842,297.455592,5418.634,1260,0.014583333,3.9927E-05
22:00.0,6667.69187,297.039293,5418.44,1320,0.015277778,4.18283E-05
23:00.0,6667.623325,296.66867,5418.356,1380,0.015972222,4.37296E-05
24:00.0,6667.645747,296.359213,5418.384,1440,0.016666667,4.56308E-05
25:00.0,6667.759771,296.131669,5418.523,1500,0.017361111,4.75321E-05
26:00.0,6667.965428,296.0136,5418.773,1560,0.018055556,4.94334E-05
27:00.0,6668.260265,296.03829,5419.133,1620,0.01875,5.13347E-05
28:00.0,6668.638228,296.240321,5419.594,1680,0.019444444,5.3236E-05
29:00.0,6669.090371,296.648471,5420.145,1740,0.020138889,5.51373E-05
30:00.0,6669.606362,297.277574,5420.774,1800,0.020833333,5.70386E-05
31:00.0,6670.174933,298.121856,5421.467,1860,0.021527778,5.89398E-05
32:00.0,6670.783137,299.153045,5422.209,1920,0.022222222,6.08411E-05
33:00.0,6671.416329,300.325947,5422.981,1980,0.022916667,6.27424E-05
34:00.0,6672.060086,301.590168,5423.765,2040,0.023611111,6.46437E-05
35:00.0,6672.702478,302.90118,5424.549,2100,0.024305556,6.6545E-05
36:00.0,6673.333968,304.223433,5425.319,2160,0.025,6.84463E-05
37:00.0,6673.944815,305.525492,5426.064,2220,0.025694444,7.03476E-05
38:00.0,6674.523092,306.774855,5426.769,2280,0.026388889,7.22488E-05
39:00.0,6675.05569,307.938789,5427.419,2340,0.027083333,7.41501E-05
40:00.0,6675.530711,308.988611,5427.998,2400,0.027777778,7.60514E-05
41:00.0,6675.937829,309.900235,5428.495,2460,0.028472222,7.79527E-05
42:00.0,6676.26619,310.649651,5428.895,2520,0.029166667,7.9854E-05
43:00.0,6676.503337,311.210254,5429.184,2580,0.029861111,8.17553E-05
44:00.0,6676.637946,311.55788,5429.349,2640,0.030555556,8.36566E-05
45:00.0,6676.664472,311.67999,5429.381,2700,0.03125,8.55578E-05
46:00.0,6676.585052,311.579604,5429.284,2760,0.031944444,8.74591E-05
47:00.0,6676.406664,311.269782,5429.066,2820,0.032638889,8.93604E-05
48:00.0,6676.136377,310.764114,5428.737,2880,0.033333333,9.12617E-05
49:00.0,6675.779019,310.071965,5428.301,2940,0.034027778,9.3163E-05
50:00.0,6675.338694,309.201458,5427.764,3000,0.034722222,9.50643E-05
51:00.0,6674.821757,308.165517,5427.133,3060,0.035416667,9.69655E-05
52:00.0,6674.238291,306.985022,5426.422,3120,0.036111111,9.88668E-05
53:00.0,6673.600595,305.686024,5425.644,3180,0.036805556,0.000100768
54:00.0,6672.920778,304.295233,5424.815,3240,0.0375,0.000102669
55:00.0,6672.210032,302.83909,5423.948,3300,0.038194444,0.000104571
56:00.0,6671.480254,301.347782,5423.058,3360,0.038888889,0.000106472
57:00.0,6670.745907,299.8599,5422.163,3420,0.039583333,0.000108373
58:00.0,6670.023396,298.421878,5421.282,3480,0.040277778,0.000110275
59:00.0,6669.327822,297.081798,5420.434,3540,0.040972222,0.000112176
00:00.0,6668.670245,295.883709,5419.633,3600,0.041666667,0.000114077
01:00.0,6668.058417,294.867261,5418.887,3660,0.042361111,0.000115978
02:00.0,6667.500248,294.068131,5418.206,3720,0.043055556,0.00011788
03:00.0,6667.006307,293.510482,5417.604,3780,0.04375,0.000119781
04:00.0,6666.588797,293.19438,5417.095,3840,0.044444444,0.000121682
05:00.0,6666.258234,293.093157,5416.692,3900,0.045138889,0.000123584
