Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
00:00.0,6778.137,400,5553.624,0,0,0
01:00.0,6778.086652,400.603607,5553.562,60,0.000694444,1.90129E-06
02:00.0,6777.952385,401.120389,5553.397,120,0.001388889,3.80257E-06
03:00.0,6777.735487,401.548106,5553.131,180,0.002083333,5.70386E-06
04:00.0,6777.438257,401.885063,5552.766,240,0.002777778,7.60514E-06
05:00.0,6777.06518,402.131324,5552.307,300,0.003472222,9.50643E-06
06:00.0,6776.622777,402.28892,5551.763,360,0.004166667,1.14077E-05
07:00.0,6776.118505,402.360876,5551.144,420,0.004861111,1.3309E-05
08:00.0,6775.560462,402.350583,5550.458,480,0.005555556,1.52103E-05
09:00.0,6774.958281,402.262432,5549.718,540,0.00625,1.71116E-05
10:00.0,6774.323661,402.102649,5548.938,600,0.006944444,1.90129E-05
11:00.0,6773.669264,401.878899,5548.134,660,0.007638889,2.09141E-05
12:00.0,6773.006967,401.598806,5547.321,720,0.008333333,2.28154E-05
13:00.0,6772.347478,401.269038,5546.51,780,0.009027778,2.47167E-05
14:00.0,6771.701625,400.89594,5545.717,840,0.009722222,2.6618E-05
15:00.0,6771.081518,400.486852,5544.955,900,0.010416667,2.85193E-05
16:00.0,6770.499928,400.050569,5544.241,960,0.011111111,3.04206E-05
17:00.0,6769.968461,399.596496,5543.588,1020,0.011805556,3.23218E-05
18:00.0,6769.496411,399.133596,5543.008,1080,0.0125,3.42231E-05
19:00.0,6769.091176,398.670263,5542.511,1140,0.013194444,3.61244E-05
20:00.0,6768.759246,398.215093,5542.103,1200,0.013888889,3.80257E-05
21:00.0,6768.506355,397.777651,5541.792,1260,0.014583333,3.9927E-05
22:00.0,6768.336743,397.368647,5541.584,1320,0.015277778,4.18283E-05
23:00.0,6768.252657,396.999998,5541.481,1380,0.015972222,4.37296E-05
24:00.0,6768.254885,396.685666,5541.483,1440,0.016666667,4.56308E-05
25:00.0,6768.343758,396.443541,5541.593,1500,0.017361111,4.75321E-05
26:00.0,6768.519362,396.297429,5541.808,1560,0.018055556,4.94334E-05
27:00.0,6768.780529,396.277521,5542.129,1620,0.01875,5.13347E-05
28:00.0,6769.123497,396.417844,5542.55,1680,0.019444444,5.3236E-05
29:00.0,6769.541583,396.750151,5543.064,1740,0.020138889,5.51373E-05
30:00.0,6770.026068,397.295407,5543.659,1800,0.020833333,5.70386E-05
31:00.0,6770.56719,398.056136,5544.323,1860,0.021527778,5.89398E-05
32:00.0,6771.154185,399.013455,5545.044,1920,0.022222222,6.08411E-05
33:00.0,6771.774813,400.130454,5545.807,1980,0.022916667,6.27424E-05
34:00.0,6772.415753,401.360643,5546.594,2040,0.023611111,6.46437E-05
35:00.0,6773.064276,402.657954,5547.391,2100,0.024305556,6.6545E-05
36:00.0,6773.70967,403.983484,5548.184,2160,0.025,6.84463E-05
37:00.0,6774.342751,405.305714,5548.962,2220,0.025694444,7.03476E-05
38:00.0,6774.953912,406.596044,5549.713,2280,0.026388889,7.22488E-05
39:00.0,6775.531967,407.825376,5550.423,2340,0.027083333,7.41501E-05
40:00.0,6776.065095,408.965132,5551.078,2400,0.027777778,7.60514E-05
41:00.0,6776.542504,409.990153,5551.665,2460,0.028472222,7.79527E-05
42:00.0,6776.954547,410.878709,5552.171,2520,0.029166667,7.9854E-05
