"Time (UTCG)","Semi-parameter (km)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","Arg of Perigee (deg)","RAAN (deg)","Height of Apogee (km)","Height of Perigee (km)","Sidereal Period (sec)","Orbit Count"
23 Jun 2025 09:49:20.268,7073.478792,7073.484259,0.00087913,44.981109,180.000000,0.000000,701.565747,689.128771,5920.536566,0
24 Jun 2025 02:13:45.499,7073.211730,7073.216934,0.00085775,44.981042,187.951242,356.631410,701.147020,689.012848,5920.200941,10
24 Jun 2025 18:38:08.965,7072.929288,7072.934256,0.00083805,44.980996,196.333551,353.262549,700.724723,688.869789,5919.846048,20
25 Jun 2025 11:02:28.916,7072.653727,7072.658479,0.00081970,44.980971,205.015611,349.893429,700.318903,688.724055,5919.499825,30
26 Jun 2025 03:26:45.437,7072.384642,7072.389220,0.00080453,44.980960,213.978653,346.524075,699.942182,688.562258,5919.161791,40
26 Jun 2025 19:50:58.465,7072.099491,7072.103953,0.00079433,44.980944,223.058760,343.154505,699.584548,688.349358,5918.803668,50
27 Jun 2025 12:15:07.929,7071.818903,7071.823302,0.00078867,44.980910,231.998942,339.784699,699.263624,688.108980,5918.451347,60
28 Jun 2025 04:39:13.957,7071.554543,7071.558945,0.00078903,44.980844,240.694708,336.414651,699.001586,687.842305,5918.119488,70
28 Jun 2025 21:03:16.613,7071.283852,7071.288341,0.00079674,44.980737,248.965877,333.044354,698.785354,687.517328,5917.779792,80
29 Jun 2025 13:27:15.856,7071.012845,7071.017486,0.00081014,44.980590,256.671006,329.673776,698.609020,687.151952,5917.439787,90
30 Jun 2025 05:51:11.785,7070.757782,7070.762643,0.00082919,44.980409,263.799233,326.302893,698.488623,686.762663,5917.119889,100
30 Jun 2025 22:15:04.486,7070.500238,7070.505404,0.00085478,44.980206,270.293004,322.931701,698.412110,686.324699,5916.796989,110
1 Jul 2025 14:38:53.894,7070.234943,7070.240478,0.00088477,44.979997,276.164183,319.560183,698.359024,685.847931,5916.464445,120
2 Jul 2025 07:02:40.033,7069.980559,7069.986523,0.00091848,44.979801,281.495109,316.188327,698.343183,685.355864,5916.145680,130
2 Jul 2025 23:26:22.995,7069.730024,7069.736497,0.00095686,44.979632,286.303905,312.816152,698.364225,684.834769,5915.831850,140
3 Jul 2025 15:50:02.748,7069.470243,7069.477289,0.00099834,44.979503,290.646741,309.443672,698.398051,684.282528,5915.506503,150
4 Jul 2025 08:13:39.268,7069.215620,7069.223298,0.00104213,44.979424,294.640166,306.070895,698.453325,683.719270,5915.187708,160
5 Jul 2025 00:37:12.661,7068.972694,7068.981078,0.00108906,44.979398,298.294043,302.697850,698.542639,683.145517,5914.883694,170
5 Jul 2025 17:00:42.950,7068.721440,7068.730599,0.00113827,44.979419,301.649309,299.324572,698.639736,682.547462,5914.569319,180
6 Jul 2025 09:24:10.071,7068.468199,7068.478190,0.00118890,44.979482,304.818837,295.951069,698.744912,681.937469,5914.252528,190
7 Jul 2025 01:47:34.107,7068.229881,7068.240779,0.00124171,44.979573,307.795665,292.577359,698.880484,681.327074,5913.954564,200
7 Jul 2025 18:10:55.135,7067.988770,7068.000645,0.00129621,44.979679,310.580477,289.203467,699.025270,680.702021,5913.653189,210
8 Jul 2025 10:34:13.085,7067.739424,7067.752334,0.00135151,44.979785,313.274252,285.829387,699.167462,680.063206,5913.341556,220
9 Jul 2025 02:57:27.994,7067.503720,7067.517738,0.00140832,44.979879,315.873506,282.455108,699.334083,679.427393,5913.047141,230
9 Jul 2025 19:20:39.977,7067.272828,7067.288025,0.00146640,44.979954,318.345840,279.080629,699.514501,678.787548,5912.758859,240
10 Jul 2025 11:43:48.992,7067.030306,7067.046736,0.00152475,44.980009,320.772216,275.705934,699.685210,678.134262,5912.456054,250
11 Jul 2025 04:06:55.020,7066.796134,7066.813867,0.00158408,44.980050,323.165697,272.330991,699.871297,677.482437,5912.163822,260
11 Jul 2025 20:29:58.189,7066.573836,7066.592944,0.00164437,44.980093,325.475715,268.955788,700.076067,676.835821,5911.886584,270
12 Jul 2025 12:52:58.501,7066.340185,7066.360714,0.00170448,44.980157,327.758315,265.580323,700.268201,676.179228,5911.595163,280
13 Jul 2025 05:15:55.891,7066.107030,7066.129045,0.00176508,44.980265,330.045084,262.204578,700.464338,675.519752,5911.304449,290
13 Jul 2025 21:38:50.462,7065.889863,7065.913435,0.00182646,44.980440,332.281466,258.828567,700.682024,674.870845,5911.033892,300
14 Jul 2025 14:01:42.267,7065.664858,7065.690026,0.00188732,44.980696,334.497423,255.452327,700.888238,674.217814,5910.753553,310
15 Jul 2025 06:24:31.206,7065.431853,7065.458670,0.00194819,44.981035,336.738744,252.075886,701.086496,673.556844,5910.463247,320
15 Jul 2025 22:47:17.332,7065.214765,7065.243303,0.00200978,44.981446,338.957864,248.699280,701.305856,672.906750,5910.193008,330
16 Jul 2025 15:10:00.730,7064.995315,7065.025609,0.00207070,44.981900,341.160097,245.322566,701.518179,672.259038,5909.919852,340
17 Jul 2025 07:32:41.289,7064.760547,7064.792634,0.00213118,44.982353,343.398321,241.945770,701.711978,671.599291,5909.627529,350
17 Jul 2025 23:55:18.988,7064.537341,7064.571297,0.00219239,44.982762,345.639646,238.568893,701.922563,670.946031,5909.349812,360
18 Jul 2025 16:17:53.921,7064.317506,7064.353365,0.00225301,44.983083,347.868856,235.191938,702.132400,670.300331,5909.076371,370
19 Jul 2025 08:40:25.983,7064.077552,7064.115339,0.00231281,44.983283,350.138097,231.814872,702.316279,669.640399,5908.777723,380
20 Jul 2025 01:02:55.070,7063.841223,7063.881011,0.00237331,44.983352,352.433673,228.437624,702.508769,668.979253,5908.483720,390
20 Jul 2025 17:25:21.256,7063.612757,7063.654588,0.00243350,44.983299,354.726091,225.060136,702.706997,668.328179,5908.199640,400
21 Jul 2025 09:47:44.456,7063.362798,7063.406685,0.00249267,44.983151,357.060269,221.682349,702.876431,667.662940,5907.888616,410
22 Jul 2025 02:10:04.496,7063.106521,7063.152537,0.00255245,44.982950,359.441503,218.304178,703.043874,666.987201,5907.569762,420
22 Jul 2025 18:32:21.400,7062.860288,7062.908505,0.00261282,44.982733,1.831391,214.925494,703.225644,666.317367,5907.263605,430
23 Jul 2025 10:54:35.111,7062.594729,7062.645130,0.00267140,44.982589,4.269212,211.546511,703.375255,665.641006,5906.933186,440
24 Jul 2025 03:16:45.407,7062.313064,7062.365681,0.00272953,44.982533,6.770932,208.167232,703.505649,664.951713,5906.582608,450
24 Jul 2025 19:38:52.245,7062.040315,7062.095158,0.00278672,44.982549,9.294203,204.787766,703.638245,664.278070,5906.243234,460
25 Jul 2025 12:00:55.593,7061.753461,7061.810469,0.00284125,44.982588,11.849618,201.408193,703.737837,663.609100,5905.886097,470
26 Jul 2025 04:22:55.217,7061.443338,7061.502490,0.00289426,44.982615,14.460400,198.028459,703.803283,662.927697,5905.499751,480
26 Jul 2025 20:44:51.010,7061.139164,7061.200462,0.00294636,44.982597,17.087857,194.648515,703.868269,662.258655,5905.120878,490
27 Jul 2025 13:06:42.967,7060.828356,7060.891747,0.00299630,44.982508,19.733135,191.268340,703.911265,661.598230,5904.733626,500
