Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
23:00.0,6774.333768,401.862649,5548.951,4980,0.057638889,0.000157807
24:00.0,6774.949793,402.00282,5549.708,5040,0.058333333,0.000159708
25:00.0,6775.525847,402.066723,5550.415,5100,0.059027778,0.000161609
26:00.0,6776.053038,402.050796,5551.063,5160,0.059722222,0.000163511
27:00.0,6776.524706,401.952411,5551.643,5220,0.060416667,0.000165412
28:00.0,6776.933488,401.767135,5552.145,5280,0.061111111,0.000167313
29:00.0,6777.269349,401.487855,5552.558,5340,0.061805556,0.000169214
30:00.0,6777.521046,401.107315,5552.867,5400,0.0625,0.000171116
31:00.0,6777.679782,400.622202,5553.062,5460,0.063194444,0.000173017
32:00.0,6777.741617,400.039448,5553.138,5520,0.063888889,0.000174918
33:00.0,6777.706728,399.836663,5553.095,5580,0.064583333,0.00017682
34:00.0,6777.577581,400.345145,5552.937,5640,0.065277778,0.000178721
35:00.0,6777.358663,400.774825,5552.668,5700,0.065972222,0.000180622
36:00.0,6777.057438,401.113371,5552.298,5760,0.066666667,0.000182523
37:00.0,6776.683993,401.364574,5551.839,5820,0.067361111,0.000184425
38:00.0,6776.248597,401.534377,5551.304,5880,0.068055556,0.000186326
39:00.0,6775.759407,401.627665,5550.702,5940,0.06875,0.000188227
40:00.0,6775.222761,401.647396,5550.043,6000,0.069444444,0.000190129
41:00.0,6774.645487,401.596027,5549.334,6060,0.070138889,0.00019203
42:00.0,6774.036472,401.477252,5548.585,6120,0.070833333,0.000193931
43:00.0,6773.406061,401.296223,5547.811,6180,0.071527778,0.000195832
44:00.0,6772.764556,401.058519,5547.023,6240,0.072222222,0.000197734
45:00.0,6772.121812,400.769453,5546.233,6300,0.072916667,0.000199635
46:00.0,6771.488096,400.434491,5545.455,6360,0.073611111,0.000201536
47:00.0,6770.874807,400.060107,5544.701,6420,0.074305556,0.000203438
48:00.0,6770.294035,399.654028,5543.988,6480,0.075,0.000205339
49:00.0,6769.757449,399.22478,5543.329,6540,0.075694444,0.00020724
50:00.0,6769.275557,398.781169,5542.737,6600,0.076388889,0.000209141
51:00.0,6768.857674,398.33225,5542.224,6660,0.077083333,0.000211043
52:00.0,6768.51205,397.887649,5541.799,6720,0.077777778,0.000212944
53:00.0,6768.245587,397.457828,5541.472,6780,0.078472222,0.000214845
54:00.0,6768.063246,397.054107,5541.248,6840,0.079166667,0.000216747
55:00.0,6767.967732,396.68874,5541.131,6900,0.079861111,0.000218648
56:00.0,6767.959919,396.375585,5541.121,6960,0.080555556,0.000220549
57:00.0,6768.039638,396.13161,5541.219,7020,0.08125,0.00022245
58:00.0,6768.205879,395.978549,5541.423,7080,0.081944444,0.000224352
59:00.0,6768.455959,395.943252,5541.73,7140,0.082638889,0.000226253
00:00.0,6768.784577,396.055524,5542.134,7200,0.083333333,0.000228154
01:00.0,6769.184243,396.343609,5542.625,7260,0.084027778,0.000230056
02:00.0,6769.647084,396.828824,5543.193,7320,0.084722222,0.000231957
03:00.0,6770.166062,397.520486,5543.831,7380,0.085416667,0.000233858
04:00.0,6770.733849,398.411148,5544.528,7440,0.086111111,0.000235759
05:00.0,6771.340354,399.473706,5545.273,7500,0.086805556,0.000237661
06:00.0,6771.971961,400.66462,5546.049,7560,0.0875,0.000239562
07:00.0,6772.613853,401.934382,5546.838,7620,0.088194444,0.000241463
08:00.0,6773.253178,403.238782,5547.623,7680,0.088888889,0.000243365
09:00.0,6773.87972,404.542818,5548.393,7740,0.089583333,0.000245266
10:00.0,6774.483882,405.816771,5549.135,7800,0.090277778,0.000247167
11:00.0,6775.055029,407.031819,5549.837,7860,0.090972222,0.000249068
12:00.0,6775.582482,408.161006,5550.485,7920,0.091666667,0.00025097
13:00.0,6776.057673,409.18306,5551.069,7980,0.092361111,0.000252871
14:00.0,6776.474333,410.082577,5551.581,8040,0.093055556,0.000254772
15:00.0,6776.826264,410.845296,5552.013,8100,0.09375,0.000256674
16:00.0,6777.105472,411.453997,5552.357,8160,0.094444444,0.000258575
17:00.0,6777.30298,411.889847,5552.599,8220,0.095138889,0.000260476
18:00.0,6777.411274,412.137167,5552.732,8280,0.095833333,0.000262377
19:00.0,6777.425695,412.186189,5552.75,8340,0.096527778,0.000264279
20:00.0,6777.344092,412.032334,5552.65,8400,0.097222222,0.00026618
21:00.0,6777.166523,411.675601,5552.432,8460,0.097916667,0.000268081
22:00.0,6776.896277,411.122644,5552.099,8520,0.098611111,0.000269983
23:00.0,6776.540883,410.388858,5551.663,8580,0.099305556,0.000271884
24:00.0,6776.110984,409.496218,5551.134,8640,0.1,0.000273785
25:00.0,6775.617264,408.467232,5550.528,8700,0.100694444,0.000275686
26:00.0,6775.068272,407.320838,5549.853,8760,0.101388889,0.000277588
27:00.0,6774.471324,406.074639,5549.12,8820,0.102083333,0.000279489
28:00.0,6773.835433,404.751361,5548.338,8880,0.102777778,0.00028139
29:00.0,6773.173542,403.383822,5547.525,8940,0.103472222,0.000283292
30:00.0,6772.501535,402.013246,5546.7,9000,0.104166667,0.000285193
31:00.0,6771.834751,400.682503,5545.881,9060,0.104861111,0.000287094
32:00.0,6771.184977,399.430526,5545.082,9120,0.105555556,0.000288995
33:00.0,6770.56052,398.292879,5544.315,9180,0.10625,0.000290897
34:00.0,6769.969218,397.306368,5543.589,9240,0.106944444,0.000292798
35:00.0,6769.421479,396.508905,5542.916,9300,0.107638889,0.000294699
36:00.0,6768.930256,395.928577,5542.313,9360,0.108333333,0.000296601
37:00.0,6768.507737,395.56948,5541.794,9420,0.109027778,0.000298502
38:00.0,6768.161861,395.409531,5541.369,9480,0.109722222,0.000300403
39:00.0,6767.895957,395.412981,5541.043,9540,0.110416667,0.000302304
40:00.0,6767.711624,395.54513,5540.816,9600,0.111111111,0.000304206
41:00.0,6767.611643,395.778867,5540.693,9660,0.111805556,0.000306107
42:00.0,6767.599998,396.093396,5540.679,9720,0.1125,0.000308008
43:00.0,6767.679385,396.470783,5540.777,9780,0.113194444,0.000309909
44:00.0,6767.849023,396.894346,5540.985,9840,0.113888889,0.000311811
45:00.0,6768.104708,397.349103,5541.299,9900,0.114583333,0.000313712
46:00.0,6768.440363,397.822489,5541.711,9960,0.115277778,0.000315613
47:00.0,6768.849239,398.304115,5542.213,10020,0.115972222,0.000317515
48:00.0,6769.323998,398.784829,5542.796,10080,0.116666667,0.000319416
49:00.0,6769.85631,399.255911,5543.45,10140,0.117361111,0.000321317
50:00.0,6770.436658,399.708721,5544.163,10200,0.118055556,0.000323218
51:00.0,6771.054417,400.134632,5544.922,10260,0.11875,0.00032512
52:00.0,6771.698086,400.52511,5545.713,10320,0.119444444,0.000327021
53:00.0,6772.355715,400.871922,5546.52,10380,0.120138889,0.000328922
54:00.0,6773.015358,401.167231,5547.331,10440,0.120833333,0.000330824
55:00.0,6773.665064,401.403293,5548.129,10500,0.121527778,0.000332725
56:00.0,6774.292403,401.572009,5548.9,10560,0.122222222,0.000334626
57:00.0,6774.884347,401.66512,5549.627,10620,0.122916667,0.000336527
58:00.0,6775.428287,401.675313,5550.296,10680,0.123611111,0.000338429
59:00.0,6775.913593,401.597386,5550.892,10740,0.124305556,0.00034033
00:00.0,6776.33228,401.428309,5551.406,10800,0.125,0.000342231
01:00.0,6776.678191,401.166155,5551.831,10860,0.125694444,0.000344133
02:00.0,6776.946209,400.809541,5552.161,10920,0.126388889,0.000346034
03:00.0,6777.131976,400.3579,5552.389,10980,0.127083333,0.000347935
04:00.0,6777.232619,399.812686,5552.513,11040,0.127777778,0.000349836
05:00.0,6777.246729,399.19985,5552.53,11100,0.128472222,0.000351738
06:00.0,6777.173271,399.636043,5552.44,11160,0.129166667,0.000353639
07:00.0,6777.010754,400.128495,5552.24,11220,0.129861111,0.00035554
08:00.0,6776.758057,400.528907,5551.93,11280,0.130555556,0.000357442
09:00.0,6776.416613,400.832951,5551.51,11340,0.13125,0.000359343
10:00.0,6775.992216,401.040348,5550.989,11400,0.131944444,0.000361244
11:00.0,6775.495136,401.154792,5550.378,11460,0.132638889,0.000363145
12:00.0,6774.938746,401.183069,5549.694,11520,0.133333333,0.000365047
13:00.0,6774.337651,401.133602,5548.955,11580,0.134027778,0.000366948
14:00.0,6773.706123,401.01508,5548.18,11640,0.134722222,0.000368849
15:00.0,6773.057127,400.835517,5547.382,11700,0.135416667,0.000370751
16:00.0,6772.402147,400.601901,5546.578,11760,0.136111111,0.000372652
17:00.0,6771.751772,400.320504,5545.779,11820,0.136805556,0.000374553
18:00.0,6771.116538,399.997604,5544.998,11880,0.1375,0.000376454
19:00.0,6770.50721,399.640041,5544.25,11940,0.138194444,0.000378356
20:00.0,6769.934156,399.255164,5543.546,12000,0.138888889,0.000380257
21:00.0,6769.406324,398.850258,5542.898,12060,0.139583333,0.000382158
22:00.0,6768.930758,398.431962,5542.314,12120,0.140277778,0.00038406
23:00.0,6768.513175,398.006284,5541.801,12180,0.140972222,0.000385961
24:00.0,6768.159239,397.579389,5541.366,12240,0.141666667,0.000387862
25:00.0,6767.875564,397.158877,5541.018,12300,0.142361111,0.000389763
26:00.0,6767.669529,396.754893,5540.765,12360,0.143055556,0.000391665
27:00.0,6767.547873,396.380527,5540.615,12420,0.14375,0.000393566
28:00.0,6767.51503,396.051592,5540.575,12480,0.144444444,0.000395467
29:00.0,6767.572333,395.786451,5540.645,12540,0.145138889,0.000397369
30:00.0,6767.718332,395.606445,5540.824,12600,0.145833333,0.00039927
31:00.0,6767.949448,395.536593,5541.108,12660,0.146527778,0.000401171
32:00.0,6768.260401,395.605311,5541.49,12720,0.147222222,0.000403072
